prompt,Normal#0,Normal#1,Normal#2,Normal#3,Normal#4,Abuse#0,Abuse#1,Abuse#2,Abuse#3,Abuse#4,Arrest#0,Arrest#1,Arrest#2,Arrest#3,Arrest#4,Arson#0,Arson#1,Arson#2,Arson#3,Arson#4,Assault#0,Assault#1,Assault#2,Assault#3,Assault#4,Burglary#0,Burglary#1,Burglary#2,Burglary#3,Burglary#4,Explosion#0,Explosion#1,Explosion#2,Explosion#3,Explosion#4,Fighting#0,Fighting#1,Fighting#2,Fighting#3,Fighting#4,RoadAccidents#0,RoadAccidents#1,RoadAccidents#2,RoadAccidents#3,RoadAccidents#4,Robbery#0,Robbery#1,Robbery#2,Robbery#3,Robbery#4,Shooting#0,Shooting#1,Shooting#2,Shooting#3,Shooting#4,Shoplifting#0,Shoplifting#1,Shoplifting#2,Shoplifting#3,Shoplifting#4,Stealing#0,Stealing#1,Stealing#2,Stealing#3,Stealing#4,Vandalism#0,Vandalism#1,Vandalism#2,Vandalism#3,Vandalism#4
Normal#0,1.000000238418579,0.8009277582168579,0.8219608068466187,0.7178869247436523,0.743095874786377,0.7326257228851318,0.663162350654602,0.6785376071929932,0.7126466631889343,0.6522907614707947,0.6857463717460632,0.6887646913528442,0.7065023183822632,0.6744707226753235,0.6941980123519897,0.7247054576873779,0.6160570383071899,0.6290596723556519,0.5978292226791382,0.6265995502471924,0.6339918971061707,0.6416563987731934,0.6151570081710815,0.7616266012191772,0.6398370265960693,0.671329140663147,0.5553627610206604,0.7588638067245483,0.7173945903778076,0.7012959718704224,0.5386520624160767,0.6292814016342163,0.533261239528656,0.6366456151008606,0.547675371170044,0.4810341000556946,0.6924502849578857,0.5271063446998596,0.6228528618812561,0.6070044636726379,0.7073503732681274,0.867294192314148,0.7666985988616943,0.7206462025642395,0.7358478903770447,0.710507333278656,0.7594960331916809,0.7569725513458252,0.6934758424758911,0.6597422361373901,0.5753562450408936,0.535692036151886,0.6997769474983215,0.6354812383651733,0.5782626867294312,0.6852015256881714,0.5369073152542114,0.695317268371582,0.6442881226539612,0.7325748801231384,0.755569577217102,0.7147709131240845,0.7752759456634521,0.8098589181900024,0.6355286836624146,0.6814854145050049,0.625708818435669,0.5277893543243408,0.7115477323532104,0.7672675848007202
Normal#1,0.8009277582168579,0.9999998807907104,0.7232762575149536,0.6236451268196106,0.8643283843994141,0.8352934122085571,0.8271835446357727,0.802968442440033,0.8227431774139404,0.8133790493011475,0.6475783586502075,0.528649091720581,0.668419361114502,0.6958435773849487,0.6799687147140503,0.7951047420501709,0.789034366607666,0.7763478755950928,0.792152464389801,0.7869153022766113,0.7487999200820923,0.7825402617454529,0.7598758935928345,0.7972158193588257,0.7949296236038208,0.8171591758728027,0.7599890828132629,0.7920590043067932,0.7816197872161865,0.7668633460998535,0.7483347654342651,0.8185967206954956,0.7428752779960632,0.8136899471282959,0.7577138543128967,0.6952707767486572,0.7044093608856201,0.7306350469589233,0.7464635372161865,0.7956825494766235,0.5906291007995605,0.7880724668502808,0.7279510498046875,0.8183833360671997,0.6673507690429688,0.7682037949562073,0.7089217305183411,0.8075751066207886,0.7731567621231079,0.8192861080169678,0.695661187171936,0.6771594285964966,0.7116244435310364,0.7709606885910034,0.7522465586662292,0.8013910055160522,0.7062147259712219,0.8037031292915344,0.6806704998016357,0.7704079151153564,0.7911537885665894,0.845284104347229,0.7110936641693115,0.78551185131073,0.7118316292762756,0.7575567960739136,0.773474931716919,0.7402231097221375,0.813755989074707,0.7160367965698242
Normal#2,0.8219608068466187,0.7232762575149536,0.9999996423721313,0.6819244623184204,0.674470067024231,0.6838167905807495,0.6070423722267151,0.5969617366790771,0.6578223705291748,0.5606504678726196,0.680397093296051,0.6312540769577026,0.6899373531341553,0.6705067157745361,0.678135871887207,0.7292203903198242,0.530505895614624,0.5805363655090332,0.5420709848403931,0.5372148752212524,0.5741307139396667,0.591631293296814,0.492496132850647,0.6461178660392761,0.5722877979278564,0.587198793888092,0.4450379014015198,0.6916217803955078,0.6601799726486206,0.6508160829544067,0.4702155590057373,0.5652991533279419,0.42961740493774414,0.6104547381401062,0.48085886240005493,0.37346023321151733,0.7076313495635986,0.43570858240127563,0.6310837268829346,0.5095102787017822,0.7318762540817261,0.7926973104476929,0.7132123708724976,0.7143081426620483,0.7779511213302612,0.6439444422721863,0.733580470085144,0.6863832473754883,0.6413419246673584,0.5634276270866394,0.4959845542907715,0.46194693446159363,0.725966215133667,0.552575945854187,0.4733780026435852,0.6051338315010071,0.39751237630844116,0.6214644312858582,0.535903811454773,0.665566086769104,0.6817780137062073,0.6289375424385071,0.7301190495491028,0.7192180156707764,0.5526455640792847,0.6012400984764099,0.5621272325515747,0.410513311624527,0.6617066264152527,0.7429002523422241
Normal#3,0.7178869247436523,0.6236451268196106,0.6819244623184204,0.9999998807907104,0.5213085412979126,0.5233778953552246,0.4421713054180145,0.43836086988449097,0.4884028434753418,0.3801175057888031,0.6153497695922852,0.5402001142501831,0.6072700023651123,0.582568883895874,0.5884413719177246,0.58052659034729,0.39284318685531616,0.4307788610458374,0.3656354546546936,0.37474924325942993,0.42638054490089417,0.4128587543964386,0.3408026695251465,0.5520126819610596,0.4147259593009949,0.4394235610961914,0.3094705641269684,0.5548497438430786,0.5295587778091431,0.5218307971954346,0.30410635471343994,0.3863915801048279,0.28483954071998596,0.4202081859111786,0.3228660821914673,0.2448759377002716,0.5365183353424072,0.30313754081726074,0.46789783239364624,0.36691856384277344,0.5636010766029358,0.5765789747238159,0.5163623690605164,0.4790414571762085,0.5791199207305908,0.5425393581390381,0.6618839502334595,0.584028422832489,0.4804689288139343,0.4285435676574707,0.3516240417957306,0.32424354553222656,0.5963925719261169,0.39251840114593506,0.30028036236763,0.5834013223648071,0.3694111406803131,0.6005237102508545,0.5592950582504272,0.6655855774879456,0.6207993626594543,0.4613780975341797,0.6099618077278137,0.6323645114898682,0.41265642642974854,0.48815232515335083,0.3751441240310669,0.2839430570602417,0.4874323308467865,0.6063079833984375
Normal#4,0.743095874786377,0.8643283843994141,0.674470067024231,0.5213085412979126,0.9999997615814209,0.8256772756576538,0.8659546375274658,0.8458881974220276,0.804175853729248,0.8592159748077393,0.5532729029655457,0.4396474361419678,0.5720834732055664,0.6349730491638184,0.5983566641807556,0.7853822708129883,0.8554425239562988,0.8167661428451538,0.8687309622764587,0.8597337007522583,0.8098099231719971,0.7987782955169678,0.836702823638916,0.7778701782226562,0.8369081020355225,0.8658868074417114,0.8604739308357239,0.8412125110626221,0.8050914406776428,0.7604053020477295,0.853650689125061,0.8858516216278076,0.8266913294792175,0.8729019165039062,0.8507237434387207,0.786713719367981,0.6360112428665161,0.8201006054878235,0.7283471822738647,0.8616649508476257,0.4960922598838806,0.7724155187606812,0.7076000571250916,0.8521081209182739,0.6127005815505981,0.7229334712028503,0.6622598171234131,0.7212225198745728,0.7884964942932129,0.8643033504486084,0.7649932503700256,0.7521930932998657,0.6616228222846985,0.8134292364120483,0.8307474851608276,0.7788209319114685,0.7769877314567566,0.7799290418624878,0.6950821280479431,0.7852308750152588,0.7689900398254395,0.8467943072319031,0.6445609331130981,0.7137836217880249,0.7329065203666687,0.8099479079246521,0.8129934072494507,0.8218799233436584,0.8067394495010376,0.6786156892776489
Abuse#0,0.7326257228851318,0.8352934122085571,0.6838167905807495,0.5233778953552246,0.8256772756576538,0.9999995231628418,0.912602424621582,0.8746895790100098,0.949579119682312,0.8849307298660278,0.7140843868255615,0.5823421478271484,0.7414321899414062,0.7524213790893555,0.7528182864189148,0.8416722416877747,0.832208514213562,0.8137563467025757,0.8259404897689819,0.8230866193771362,0.7986851930618286,0.8331818580627441,0.8053656220436096,0.8783977031707764,0.8534023761749268,0.8769123554229736,0.78040611743927,0.8619738817214966,0.8311681747436523,0.8618052005767822,0.7774746417999268,0.8396854400634766,0.7691246867179871,0.8705854415893555,0.7835716009140015,0.7142326235771179,0.7614355683326721,0.7511016130447388,0.7549399733543396,0.8278650045394897,0.6605087518692017,0.802823007106781,0.7454833984375,0.8781908750534058,0.7050220966339111,0.8343517780303955,0.739059567451477,0.8413800001144409,0.8119075298309326,0.8868749141693115,0.7449848651885986,0.7596467137336731,0.7856665849685669,0.8508384227752686,0.8173099160194397,0.8094947338104248,0.7264710664749146,0.7800385355949402,0.6935262084007263,0.7742293477058411,0.8090282678604126,0.8950552940368652,0.8066129684448242,0.8349207043647766,0.736903190612793,0.803241491317749,0.8048824667930603,0.7545619606971741,0.8844578266143799,0.7655197381973267
Abuse#1,0.663162350654602,0.8271835446357727,0.6070423722267151,0.4421713054180145,0.8659546375274658,0.912602424621582,0.9999997019767761,0.9162269234657288,0.9153753519058228,0.9538605809211731,0.5763732194900513,0.43857961893081665,0.6142836809158325,0.6457599997520447,0.64975905418396,0.8010932207107544,0.8867768049240112,0.8496721982955933,0.8995422124862671,0.8954938650131226,0.8697314262390137,0.8952715396881104,0.9069536328315735,0.8242620229721069,0.903723418712616,0.9064309597015381,0.8882483243942261,0.8434200882911682,0.8100748062133789,0.8073921203613281,0.8880711793899536,0.9215681552886963,0.8809388875961304,0.9190418720245361,0.8970584273338318,0.8522535562515259,0.6853058338165283,0.8804227113723755,0.7882591485977173,0.9233647584915161,0.5026253461837769,0.7527779936790466,0.6880588531494141,0.8821033239364624,0.6075284481048584,0.7884570360183716,0.6558886170387268,0.75836181640625,0.8242501020431519,0.9259309768676758,0.8081070780754089,0.8153042197227478,0.7130477428436279,0.8657541871070862,0.8820532560348511,0.7978650331497192,0.8138387799263,0.7878631353378296,0.6963533759117126,0.7398913502693176,0.7573351860046387,0.8850762844085693,0.6727058291435242,0.7292680144309998,0.7571542263031006,0.8089331984519958,0.8657898902893066,0.8750718832015991,0.852539598941803,0.6769905090332031
Abuse#2,0.6785376071929932,0.802968442440033,0.5969617366790771,0.43836086988449097,0.8458881974220276,0.8746895790100098,0.9162269234657288,0.9999998211860657,0.8802485466003418,0.9370177984237671,0.5699239373207092,0.43468862771987915,0.5997318029403687,0.6215941905975342,0.6766290664672852,0.7833663821220398,0.8656636476516724,0.8485580682754517,0.8463462591171265,0.9077067375183105,0.8524028062820435,0.8828293085098267,0.8958454132080078,0.827322244644165,0.8738844394683838,0.8319802284240723,0.8736464381217957,0.7910287380218506,0.7774059772491455,0.735825777053833,0.849366307258606,0.8695880770683289,0.8774587512016296,0.8468686938285828,0.8829605579376221,0.8575109839439392,0.6488122940063477,0.880009651184082,0.7892637252807617,0.895772397518158,0.464878112077713,0.7874943017959595,0.756435215473175,0.8836654424667358,0.6350731253623962,0.8081021308898926,0.6914616823196411,0.7438053488731384,0.802108645439148,0.9201134443283081,0.8428694009780884,0.7939662337303162,0.6505299806594849,0.8294812440872192,0.8656832575798035,0.7641990780830383,0.8346593379974365,0.7715184688568115,0.7359564900398254,0.7208112478256226,0.7693946361541748,0.8602780103683472,0.6519879698753357,0.7201926112174988,0.815069854259491,0.7875365018844604,0.8786466121673584,0.8827566504478455,0.8103020191192627,0.6659225225448608
Abuse#3,0.7126466631889343,0.8227431774139404,0.6578223705291748,0.4884028434753418,0.804175853729248,0.949579119682312,0.9153753519058228,0.8802485466003418,0.9999997615814209,0.8951869010925293,0.6988273859024048,0.5856558084487915,0.7288206815719604,0.7405644655227661,0.7576972246170044,0.8210062384605408,0.8313028812408447,0.819193959236145,0.829779863357544,0.819182276725769,0.7971988916397095,0.8635833263397217,0.8180290460586548,0.8899911642074585,0.8508515357971191,0.8661084175109863,0.7898862361907959,0.8493508100509644,0.8204503059387207,0.8542367219924927,0.7807424068450928,0.8465321063995361,0.7883254289627075,0.870737612247467,0.7949795722961426,0.734559178352356,0.7723729610443115,0.7682458162307739,0.7720006704330444,0.832173228263855,0.6517729759216309,0.8002417683601379,0.7343313694000244,0.8787192702293396,0.7008107304573059,0.8103276491165161,0.7431384325027466,0.843779444694519,0.7924625873565674,0.8888282179832458,0.7329451441764832,0.7678104639053345,0.774427056312561,0.8366026878356934,0.8225173950195312,0.8146020770072937,0.7366222143173218,0.7868514060974121,0.6989383697509766,0.7643123865127563,0.811056911945343,0.8841090202331543,0.7886741757392883,0.8304057717323303,0.7349221706390381,0.7854548692703247,0.8131285905838013,0.7636419534683228,0.8816102743148804,0.7277845144271851
Abuse#4,0.6522907614707947,0.8133790493011475,0.5606504678726196,0.3801175057888031,0.8592159748077393,0.8849307298660278,0.9538605809211731,0.9370177984237671,0.8951869010925293,1.0000003576278687,0.550257682800293,0.4328758716583252,0.5961748361587524,0.6245208382606506,0.6493317484855652,0.7557426691055298,0.8821898102760315,0.8333574533462524,0.8853766322135925,0.9110203981399536,0.8718488216400146,0.8954543471336365,0.9377691745758057,0.8219492435455322,0.9128620624542236,0.8886816501617432,0.9045064449310303,0.7984139919281006,0.7792552709579468,0.7750673890113831,0.8877906799316406,0.9102023243904114,0.9015114307403564,0.886925220489502,0.8998509049415588,0.8852875232696533,0.655558705329895,0.9034258127212524,0.7748476266860962,0.9337682127952576,0.4464738965034485,0.7601932287216187,0.7138991355895996,0.8886411786079407,0.6003462076187134,0.7946752309799194,0.6402549743652344,0.7519928216934204,0.8171117305755615,0.9368585348129272,0.8436015844345093,0.8117642402648926,0.6381365060806274,0.8761042952537537,0.9078484773635864,0.7819699645042419,0.8460903167724609,0.7778300046920776,0.7181600332260132,0.7079575061798096,0.7606196403503418,0.8917355537414551,0.6476778984069824,0.7251052856445312,0.7947608232498169,0.8015585541725159,0.8894437551498413,0.8991151452064514,0.8360663652420044,0.6538208723068237
