row,Normal,Abuse,Arrest,Arson,Assault,Burglary,Explosion,Fighting,RoadAccidents,Robbery,Shooting,Shoplifting,Stealing,Vandalism
Normal,0.206193745136261,0.48670533299446106,0.5317634344100952,0.5151978135108948,0.5082446932792664,0.5176839828491211,0.5788004398345947,0.5211890935897827,0.6398503184318542,0.5943639278411865,0.45620840787887573,0.6698644757270813,0.5201680660247803,0.5661617517471313
Abuse,0.3894316256046295,0.4351288676261902,0.46237272024154663,0.4676477313041687,0.44252562522888184,0.5542932748794556,0.5206707119941711,0.4786621928215027,0.533788800239563,0.6311303377151489,0.37337684631347656,0.6622664928436279,0.5063807964324951,0.5616707801818848
Arrest,0.07433966547250748,0.498953640460968,0.651653528213501,0.5681608319282532,0.5564314126968384,0.5127654075622559,0.5793241262435913,0.5435304045677185,0.6287205815315247,0.5300237536430359,0.5415326356887817,0.6314535140991211,0.4936865270137787,0.5504494905471802
Arson,0.41623562574386597,0.3943333923816681,0.3782969117164612,0.4148198068141937,0.3797805905342102,0.4972590506076813,0.4731787443161011,0.4126884937286377,0.46546024084091187,0.5972020626068115,0.3045332133769989,0.6158883571624756,0.47886723279953003,0.5092003345489502
Assault,0.4033232629299164,0.40393030643463135,0.4123833179473877,0.43288466334342957,0.40974247455596924,0.5649853348731995,0.46379655599594116,0.44550180435180664,0.4745924174785614,0.6199378967285156,0.3324105143547058,0.6307604312896729,0.5302804708480835,0.5530558824539185
Burglary,0.3313634991645813,0.4723661541938782,0.5074851512908936,0.5071678161621094,0.4995025396347046,0.5932149887084961,0.5719996690750122,0.5258358716964722,0.5705690979957581,0.6538776159286499,0.4215220808982849,0.7076234817504883,0.533087968826294,0.574158787727356
Explosion,0.4608370363712311,0.3553481101989746,0.30980488657951355,0.34734317660331726,0.33640944957733154,0.49208754301071167,0.41941148042678833,0.3670264780521393,0.3887058198451996,0.5974628925323486,0.24351076781749725,0.5800302028656006,0.4622937738895416,0.4768028259277344
Fighting,0.4161846339702606,0.3931342363357544,0.38300395011901855,0.40643420815467834,0.3891555070877075,0.5111384391784668,0.4451081156730652,0.4381321966648102,0.44685888290405273,0.5991401672363281,0.3051913380622864,0.6065371632575989,0.49686819314956665,0.5132232308387756
RoadAccidents,0.20664836466312408,0.5006138682365417,0.5861870050430298,0.558754563331604,0.5384971499443054,0.5536583662033081,0.600773811340332,0.5517777800559998,0.6771227717399597,0.5968927145004272,0.491889625787735,0.6712772250175476,0.5325349569320679,0.601090669631958
Robbery,0.28733864426612854,0.4411824643611908,0.4936918616294861,0.46100109815597534,0.44939032196998596,0.5358632802963257,0.5098996162414551,0.4755520224571228,0.5430920124053955,0.5987578630447388,0.4108515977859497,0.6675015687942505,0.506740391254425,0.5454549789428711
Shooting,0.4228459596633911,0.33284345269203186,0.35141831636428833,0.3659408688545227,0.33374306559562683,0.48099517822265625,0.41313207149505615,0.37526243925094604,0.41240161657333374,0.5644270181655884,0.2865622043609619,0.5796294808387756,0.44003888964653015,0.46880075335502625
Shoplifting,0.34748125076293945,0.38787373900413513,0.38741976022720337,0.3827211260795593,0.3826559782028198,0.49225062131881714,0.4498617351055145,0.41301393508911133,0.45946961641311646,0.5800127983093262,0.32801640033721924,0.658832848072052,0.4769095778465271,0.49292194843292236
Stealing,0.26546940207481384,0.4862760901451111,0.547662615776062,0.5099834203720093,0.5027776956558228,0.5546010732650757,0.5697286128997803,0.524919331073761,0.5919511914253235,0.6241796612739563,0.4663083553314209,0.7022974491119385,0.513317883014679,0.5663120746612549
Vandalism,0.3833625912666321,0.4171368479728699,0.44693511724472046,0.432025283575058,0.42470914125442505,0.5331400632858276,0.4934116303920746,0.46575647592544556,0.5200554132461548,0.6096698045730591,0.35917168855667114,0.6545897722244263,0.49615800380706787,0.5609134435653687
