class_name,Normal,Abuse,Arrest,Arson,Assault,Burglary,Explosion,Fighting,RoadAccidents,Robbery,Shooting,Shoplifting,Stealing,Vandalism
Normal,1.0000001192092896,0.24178653955459595,0.4661663770675659,0.28834378719329834,0.2661769390106201,0.15008024871349335,0.38926857709884644,0.4234716296195984,0.3287590742111206,0.24143394827842712,0.2636444568634033,0.3418883681297302,0.31905555725097656,0.44380369782447815
Abuse,0.24178653955459595,0.9999998807907104,0.8115322589874268,0.7596623301506042,0.9731464385986328,0.832497239112854,0.7306785583496094,0.895703911781311,0.761208176612854,0.8858499526977539,0.8583784103393555,0.8106750249862671,0.872545599937439,0.8031995296478271
Arrest,0.4661663770675659,0.8115322589874268,1.0,0.7469726800918579,0.7857866287231445,0.7797738313674927,0.7389466166496277,0.8163707852363586,0.774633526802063,0.8447726964950562,0.8291624784469604,0.8122822642326355,0.832826554775238,0.8073983192443848
Arson,0.28834378719329834,0.7596623301506042,0.7469726800918579,0.9999998807907104,0.7326425313949585,0.8532947301864624,0.9167500734329224,0.7471194267272949,0.7906672358512878,0.8383596539497375,0.8098046779632568,0.7936956286430359,0.859809160232544,0.8554028272628784
Assault,0.2661769390106201,0.9731464385986328,0.7857866287231445,0.7326425313949585,1.0,0.7853328585624695,0.7317458391189575,0.9147216081619263,0.7434958219528198,0.8631434440612793,0.8670490980148315,0.787082850933075,0.8475086688995361,0.7968646287918091
Burglary,0.15008024871349335,0.832497239112854,0.7797738313674927,0.8532947301864624,0.7853328585624695,1.0000001192092896,0.7721821069717407,0.7468820810317993,0.7713884115219116,0.9180741906166077,0.8291034698486328,0.8608700633049011,0.9134747385978699,0.8395715951919556
Explosion,0.38926857709884644,0.7306785583496094,0.7389466166496277,0.9167500734329224,0.7317458391189575,0.7721821069717407,0.9999998807907104,0.768129825592041,0.8023477792739868,0.7936456203460693,0.7999570965766907,0.7648143172264099,0.8105929493904114,0.8421472311019897
Fighting,0.4234716296195984,0.895703911781311,0.8163707852363586,0.7471194267272949,0.9147216081619263,0.7468820810317993,0.768129825592041,1.0,0.7291296720504761,0.8268154263496399,0.798656165599823,0.8021152019500732,0.8291550874710083,0.8098758459091187
RoadAccidents,0.3287590742111206,0.761208176612854,0.774633526802063,0.7906672358512878,0.7434958219528198,0.7713884115219116,0.8023477792739868,0.7291296720504761,0.9999996423721313,0.8035993576049805,0.7602365612983704,0.7678823471069336,0.8183784484863281,0.8192992210388184
Robbery,0.24143394827842712,0.8858499526977539,0.8447726964950562,0.8383596539497375,0.8631434440612793,0.9180741906166077,0.7936456203460693,0.8268154263496399,0.8035993576049805,0.9999998807907104,0.9035788774490356,0.8994629383087158,0.9365001916885376,0.8767536878585815
Shooting,0.2636444568634033,0.8583784103393555,0.8291624784469604,0.8098046779632568,0.8670490980148315,0.8291034698486328,0.7999570965766907,0.798656165599823,0.7602365612983704,0.9035788774490356,0.9999997615814209,0.8136552572250366,0.8517685532569885,0.834176778793335
Shoplifting,0.3418883681297302,0.8106750249862671,0.8122822642326355,0.7936956286430359,0.787082850933075,0.8608700633049011,0.7648143172264099,0.8021152019500732,0.7678823471069336,0.8994629383087158,0.8136552572250366,0.9999998807907104,0.9077504873275757,0.8459786176681519
Stealing,0.31905555725097656,0.872545599937439,0.832826554775238,0.859809160232544,0.8475086688995361,0.9134747385978699,0.8105929493904114,0.8291550874710083,0.8183784484863281,0.9365001916885376,0.8517685532569885,0.9077504873275757,0.9999999403953552,0.8919522762298584
Vandalism,0.44380369782447815,0.8031995296478271,0.8073983192443848,0.8554028272628784,0.7968646287918091,0.8395715951919556,0.8421472311019897,0.8098758459091187,0.8192992210388184,0.8767536878585815,0.834176778793335,0.8459786176681519,0.8919522762298584,1.0
