row,Normal,Abuse,Arrest,Arson,Assault,Burglary,Explosion,Fighting,RoadAccidents,Robbery,Shooting,Shoplifting,Stealing,Vandalism
Normal,0.9999998807907104,0.8074415922164917,0.7658475637435913,0.7950826287269592,0.7887418270111084,0.8089655637741089,0.7653003931045532,0.7673212289810181,0.880865752696991,0.8461251258850098,0.7563902139663696,0.8120609521865845,0.8634713888168335,0.7757243514060974
Abuse,0.8074415922164917,1.0000003576278687,0.6979779601097107,0.9247860908508301,0.9542909860610962,0.9335727095603943,0.9332228899002075,0.9346768856048584,0.8317576050758362,0.9063225984573364,0.9139349460601807,0.8579886555671692,0.9171246290206909,0.9468035697937012
Arrest,0.7658475637435913,0.6979779601097107,0.9999999403953552,0.6372054815292358,0.6705179214477539,0.6795194149017334,0.5556653738021851,0.6350659728050232,0.787184476852417,0.8442041873931885,0.6500427722930908,0.6522700786590576,0.8152283430099487,0.6065750122070312
Arson,0.7950826287269592,0.9247860908508301,0.6372054815292358,1.0,0.9027509093284607,0.9048133492469788,0.9454809427261353,0.892421543598175,0.8002557158470154,0.85079026222229,0.9088026285171509,0.843599796295166,0.8683865070343018,0.9255470037460327
Assault,0.7887418270111084,0.9542909860610962,0.6705179214477539,0.9027509093284607,0.9999996423721313,0.9297932982444763,0.9222105741500854,0.9604653716087341,0.8242512941360474,0.8916070461273193,0.9251750707626343,0.852390468120575,0.8902862071990967,0.9454391002655029
Burglary,0.8089655637741089,0.9335727095603943,0.6795194149017334,0.9048133492469788,0.9297932982444763,1.0000003576278687,0.9117395877838135,0.9023808836936951,0.8029512166976929,0.8957280516624451,0.9160336256027222,0.8790035843849182,0.9152337908744812,0.9445599317550659
Explosion,0.7653003931045532,0.9332228899002075,0.5556653738021851,0.9454809427261353,0.9222105741500854,0.9117395877838135,0.9999999403953552,0.9171766042709351,0.7673308849334717,0.812951922416687,0.9125930070877075,0.843593955039978,0.841732382774353,0.9451758861541748
Fighting,0.7673212289810181,0.9346768856048584,0.6350659728050232,0.892421543598175,0.9604653716087341,0.9023808836936951,0.9171766042709351,0.9999998807907104,0.7882408499717712,0.8441214561462402,0.89188152551651,0.8230373859405518,0.8514862656593323,0.9282422661781311
RoadAccidents,0.880865752696991,0.8317576050758362,0.787184476852417,0.8002557158470154,0.8242512941360474,0.8029512166976929,0.7673308849334717,0.7882408499717712,1.0000001192092896,0.8699483871459961,0.7826862335205078,0.7731019258499146,0.8796336650848389,0.803624153137207
Robbery,0.8461251258850098,0.9063225984573364,0.8442041873931885,0.85079026222229,0.8916070461273193,0.8957280516624451,0.812951922416687,0.8441214561462402,0.8699483871459961,1.000000238418579,0.8769029378890991,0.8530094623565674,0.9602468609809875,0.8719924688339233
Shooting,0.7563902139663696,0.9139349460601807,0.6500427722930908,0.9088026285171509,0.9251750707626343,0.9160336256027222,0.9125930070877075,0.89188152551651,0.7826862335205078,0.8769029378890991,1.0,0.836277425289154,0.8678581714630127,0.9322501420974731
Shoplifting,0.8120609521865845,0.8579886555671692,0.6522700786590576,0.843599796295166,0.852390468120575,0.8790035843849182,0.843593955039978,0.8230373859405518,0.7731019258499146,0.8530094623565674,0.836277425289154,1.0000004768371582,0.8766170740127563,0.8711651563644409
Stealing,0.8634713888168335,0.9171246290206909,0.8152283430099487,0.8683865070343018,0.8902862071990967,0.9152337908744812,0.841732382774353,0.8514862656593323,0.8796336650848389,0.9602468609809875,0.8678581714630127,0.8766170740127563,1.0000001192092896,0.887610673904419
Vandalism,0.7757243514060974,0.9468035697937012,0.6065750122070312,0.9255470037460327,0.9454391002655029,0.9445599317550659,0.9451758861541748,0.9282422661781311,0.803624153137207,0.8719924688339233,0.9322501420974731,0.8711651563644409,0.887610673904419,1.0000003576278687
