row,Normal,Abuse,Arrest,Arson,Assault,Burglary,Explosion,Fighting,RoadAccidents,Robbery,Shooting,Shoplifting,Stealing,Vandalism
Normal,1.0,0.06853890419006348,0.0046069324016571045,0.1575111746788025,-0.0006433874368667603,0.2919330298900604,0.12370211631059647,0.06897161900997162,0.09742521494626999,0.3328968584537506,-0.006486315280199051,0.18206968903541565,0.3526471257209778,0.31396540999412537
Abuse,0.06853890419006348,1.0000003576278687,0.7580301761627197,0.8142039775848389,0.8212846517562866,0.6887780427932739,0.8004688024520874,0.7767672538757324,0.6543684005737305,0.8363053798675537,0.7028059959411621,0.7400808930397034,0.7281571626663208,0.7319412231445312
Arrest,0.0046069324016571045,0.7580301761627197,1.0,0.8368511199951172,0.891593337059021,0.6478937864303589,0.8206347823143005,0.8307780027389526,0.7542978525161743,0.6612211465835571,0.7736561298370361,0.7679059505462646,0.7001586556434631,0.7326163053512573
Arson,0.1575111746788025,0.8142039775848389,0.8368511199951172,0.9999999403953552,0.862401008605957,0.7822948694229126,0.8831360340118408,0.8091981410980225,0.751380443572998,0.7658020853996277,0.7293782234191895,0.7360968589782715,0.7640972137451172,0.829262375831604
Assault,-0.0006433874368667603,0.8212846517562866,0.891593337059021,0.862401008605957,1.0000001192092896,0.7175850868225098,0.8902424573898315,0.8747641444206238,0.7126826047897339,0.7319976091384888,0.7912799715995789,0.7517221570014954,0.7352283596992493,0.775320291519165
Burglary,0.2919330298900604,0.6887780427932739,0.6478937864303589,0.7822948694229126,0.7175850868225098,1.0,0.6967495083808899,0.6730174422264099,0.5863199234008789,0.7993687391281128,0.567592978477478,0.690828263759613,0.7987183332443237,0.8531615138053894
Explosion,0.12370211631059647,0.8004688024520874,0.8206347823143005,0.8831360340118408,0.8902424573898315,0.6967495083808899,1.000000238418579,0.8632692098617554,0.7741130590438843,0.7620620131492615,0.7609707117080688,0.7741029262542725,0.7201406955718994,0.792363703250885
Fighting,0.06897161900997162,0.7767672538757324,0.8307780027389526,0.8091981410980225,0.8747641444206238,0.6730174422264099,0.8632692098617554,0.9999999403953552,0.730309247970581,0.7105461359024048,0.7608319520950317,0.7841305732727051,0.7073180675506592,0.7412979602813721
RoadAccidents,0.09742521494626999,0.6543684005737305,0.7542978525161743,0.751380443572998,0.7126826047897339,0.5863199234008789,0.7741130590438843,0.730309247970581,1.0,0.6180256605148315,0.6413915157318115,0.7804268002510071,0.600210428237915,0.6506977081298828
Robbery,0.3328968584537506,0.8363053798675537,0.6612211465835571,0.7658020853996277,0.7319976091384888,0.7993687391281128,0.7620620131492615,0.7105461359024048,0.6180256605148315,1.0000003576278687,0.6057488918304443,0.7574872374534607,0.8105608820915222,0.7903921604156494
Shooting,-0.006486315280199051,0.7028059959411621,0.7736561298370361,0.7293782234191895,0.7912799715995789,0.567592978477478,0.7609707117080688,0.7608319520950317,0.6413915157318115,0.6057488918304443,1.0000001192092896,0.6346940994262695,0.5761305093765259,0.6536506414413452
Shoplifting,0.18206968903541565,0.7400808930397034,0.7679059505462646,0.7360968589782715,0.7517221570014954,0.690828263759613,0.7741029262542725,0.7841305732727051,0.7804268002510071,0.7574872374534607,0.6346940994262695,0.9999999403953552,0.7190104722976685,0.7126424312591553
Stealing,0.3526471257209778,0.7281571626663208,0.7001586556434631,0.7640972137451172,0.7352283596992493,0.7987183332443237,0.7201406955718994,0.7073180675506592,0.600210428237915,0.8105608820915222,0.5761305093765259,0.7190104722976685,1.0000003576278687,0.8510274887084961
Vandalism,0.31396540999412537,0.7319412231445312,0.7326163053512573,0.829262375831604,0.775320291519165,0.8531615138053894,0.792363703250885,0.7412979602813721,0.6506977081298828,0.7903921604156494,0.6536506414413452,0.7126424312591553,0.8510274887084961,0.9999996423721313
