class_index,class_name,own_anchor_similarity,best_other_anchor_class,best_other_anchor_similarity,anchor_margin,nearest_anchor_class,nearest_anchor_is_own
0,Normal,0.206193745136261,Shoplifting,0.6698644757270813,-0.4636707305908203,Shoplifting,False
10,Shooting,0.2865622043609619,Shoplifting,0.5796294808387756,-0.2930672764778137,Shoplifting,False
1,Abuse,0.4351288676261902,Shoplifting,0.6622664928436279,-0.22713762521743774,Shoplifting,False
4,Assault,0.40974247455596924,Shoplifting,0.6307604312896729,-0.2210179567337036,Shoplifting,False
3,Arson,0.44211727380752563,Shoplifting,0.631659746170044,-0.1895424723625183,Shoplifting,False
12,Stealing,0.5175896883010864,Shoplifting,0.700154185295105,-0.18256449699401855,Shoplifting,False
7,Fighting,0.4381321966648102,Shoplifting,0.6065371632575989,-0.1684049665927887,Shoplifting,False
6,Explosion,0.4658287763595581,Shoplifting,0.609345555305481,-0.14351677894592285,Shoplifting,False
13,Vandalism,0.4978116750717163,Shoplifting,0.600913405418396,-0.10310173034667969,Shoplifting,False
5,Burglary,0.5469973683357239,Shoplifting,0.6410282850265503,-0.09403091669082642,Shoplifting,False
9,Robbery,0.6110910177230835,Shoplifting,0.6837707757949829,-0.07267975807189941,Shoplifting,False
8,RoadAccidents,0.6314906477928162,Shoplifting,0.6327928900718689,-0.0013022422790527344,Shoplifting,False
2,Arrest,0.651653528213501,Shoplifting,0.6314535140991211,0.020200014114379883,Arrest,True
11,Shoplifting,0.658832848072052,Robbery,0.5800127983093262,0.07882004976272583,Shoplifting,True
