class_name,Normal,Abuse,Arrest,Arson,Assault,Burglary,Explosion,Fighting,RoadAccidents,Robbery,Shooting,Shoplifting,Stealing,Vandalism
Normal,1.0000001192092896,0.6503288745880127,0.4941670596599579,0.7113907337188721,0.8673053979873657,0.5288323760032654,0.9127073287963867,0.7485273480415344,0.5629923939704895,0.574486494064331,0.724842369556427,0.7406187057495117,0.802849531173706,0.7778592705726624
Abuse,0.6503288745880127,1.0,0.7403196096420288,0.19201502203941345,0.647411584854126,0.781606912612915,0.7660022377967834,0.8294001817703247,0.7864302396774292,0.7462597489356995,0.23409166932106018,0.7510125041007996,0.3136623203754425,0.714317798614502
Arrest,0.4941670596599579,0.7403196096420288,1.000000238418579,0.06768089532852173,0.4667472839355469,0.8459017872810364,0.5954455733299255,0.8030798435211182,0.789705216884613,0.8540026545524597,0.14641782641410828,0.7000623941421509,0.19025485217571259,0.7395812273025513
Arson,0.7113907337188721,0.19201502203941345,0.06768089532852173,1.0,0.689253568649292,0.08769911527633667,0.5629311800003052,0.3374202847480774,0.08941704034805298,0.19999873638153076,0.9432405829429626,0.3919864296913147,0.9275607466697693,0.47276678681373596
Assault,0.8673053979873657,0.647411584854126,0.4667472839355469,0.689253568649292,1.0,0.5615726709365845,0.8234617114067078,0.7057079076766968,0.48244181275367737,0.6223920583724976,0.7399846911430359,0.7839124202728271,0.7578424215316772,0.7264401912689209
Burglary,0.5288323760032654,0.781606912612915,0.8459017872810364,0.08769911527633667,0.5615726709365845,0.9999998807907104,0.6181694269180298,0.7773500680923462,0.7852470874786377,0.9042201042175293,0.16564714908599854,0.8022382259368896,0.2380274385213852,0.7963931560516357
Explosion,0.9127073287963867,0.7660022377967834,0.5954455733299255,0.5629311800003052,0.8234617114067078,0.6181694269180298,0.9999998807907104,0.8214925527572632,0.6562339067459106,0.6345677375793457,0.595609188079834,0.7631916403770447,0.6721265912055969,0.7888133525848389
Fighting,0.7485273480415344,0.8294001817703247,0.8030798435211182,0.3374202847480774,0.7057079076766968,0.7773500680923462,0.8214925527572632,1.0000004768371582,0.7399411201477051,0.8317634463310242,0.39664769172668457,0.8273346424102783,0.46132758259773254,0.8689990043640137
RoadAccidents,0.5629923939704895,0.7864302396774292,0.789705216884613,0.08941704034805298,0.48244181275367737,0.7852470874786377,0.6562339067459106,0.7399411201477051,1.0,0.7305980920791626,0.14704875648021698,0.6307846307754517,0.216596782207489,0.6648387908935547
Robbery,0.574486494064331,0.7462597489356995,0.8540026545524597,0.19999873638153076,0.6223920583724976,0.9042201042175293,0.6345677375793457,0.8317634463310242,0.7305980920791626,1.0,0.2919554114341736,0.8599691390991211,0.33530741930007935,0.8286248445510864
Shooting,0.724842369556427,0.23409166932106018,0.14641782641410828,0.9432405829429626,0.7399846911430359,0.16564714908599854,0.595609188079834,0.39664769172668457,0.14704875648021698,0.2919554114341736,1.000000238418579,0.4532964825630188,0.9198818802833557,0.5316418409347534
Shoplifting,0.7406187057495117,0.7510125041007996,0.7000623941421509,0.3919864296913147,0.7839124202728271,0.8022382259368896,0.7631916403770447,0.8273346424102783,0.6307846307754517,0.8599691390991211,0.4532964825630188,0.9999997615814209,0.5250203013420105,0.8177276849746704
Stealing,0.802849531173706,0.3136623203754425,0.19025485217571259,0.9275607466697693,0.7578424215316772,0.2380274385213852,0.6721265912055969,0.46132758259773254,0.216596782207489,0.33530741930007935,0.9198818802833557,0.5250203013420105,0.9999998807907104,0.5829168558120728
Vandalism,0.7778592705726624,0.714317798614502,0.7395812273025513,0.47276678681373596,0.7264401912689209,0.7963931560516357,0.7888133525848389,0.8689990043640137,0.6648387908935547,0.8286248445510864,0.5316418409347534,0.8177276849746704,0.5829168558120728,1.0
