prompt,Normal#0,Abuse#0,Arrest#0,Arson#0,Assault#0,Burglary#0,Explosion#0,Fighting#0,RoadAccidents#0,Robbery#0,Shooting#0,Shoplifting#0,Stealing#0,Vandalism#0
Normal#0,1.0000001192092896,0.6503288149833679,0.4941670298576355,0.7113907337188721,0.8673052787780762,0.5288323760032654,0.9127073287963867,0.7485272288322449,0.5629923939704895,0.574486494064331,0.724842369556427,0.7406187057495117,0.802849531173706,0.7778592705726624
Abuse#0,0.6503288149833679,0.9999998807907104,0.740319550037384,0.19201499223709106,0.6474114656448364,0.7816067934036255,0.7660021781921387,0.8294000625610352,0.7864301204681396,0.7462596893310547,0.2340916395187378,0.7510124444961548,0.31366223096847534,0.7143176794052124
Arrest#0,0.4941670298576355,0.740319550037384,1.0000001192092896,0.06768088042736053,0.4667472243309021,0.8459017276763916,0.5954455137252808,0.8030797243118286,0.7897050976753235,0.8540025949478149,0.14641781151294708,0.7000623941421509,0.190254807472229,0.7395812273025513
Arson#0,0.7113907337188721,0.19201499223709106,0.06768088042736053,1.0,0.6892535090446472,0.08769911527633667,0.5629311800003052,0.337420254945755,0.08941704034805298,0.19999873638153076,0.9432405829429626,0.3919864296913147,0.9275606274604797,0.47276678681373596
Assault#0,0.8673052787780762,0.6474114656448364,0.4667472243309021,0.6892535090446472,0.9999998807907104,0.5615726709365845,0.823461651802063,0.7057077884674072,0.482441782951355,0.622391939163208,0.7399846911430359,0.7839123010635376,0.7578421831130981,0.7264400720596313
Burglary#0,0.5288323760032654,0.7816067934036255,0.8459017276763916,0.08769911527633667,0.5615726709365845,0.9999998807907104,0.6181694269180298,0.7773500680923462,0.7852470874786377,0.9042201042175293,0.16564714908599854,0.8022382259368896,0.238027423620224,0.7963931560516357
Explosion#0,0.9127073287963867,0.7660021781921387,0.5954455137252808,0.5629311800003052,0.823461651802063,0.6181694269180298,0.9999998807907104,0.8214924335479736,0.6562339067459106,0.6345677375793457,0.595609188079834,0.7631916403770447,0.6721265912055969,0.7888133525848389
Fighting#0,0.7485272288322449,0.8294000625610352,0.8030797243118286,0.337420254945755,0.7057077884674072,0.7773500680923462,0.8214924335479736,1.000000238418579,0.7399410605430603,0.8317633867263794,0.3966476321220398,0.8273345828056335,0.4613274931907654,0.8689990043640137
RoadAccidents#0,0.5629923939704895,0.7864301204681396,0.7897050976753235,0.08941704034805298,0.482441782951355,0.7852470874786377,0.6562339067459106,0.7399410605430603,1.0,0.7305980920791626,0.14704875648021698,0.6307846307754517,0.216596782207489,0.6648387908935547
Robbery#0,0.574486494064331,0.7462596893310547,0.8540025949478149,0.19999873638153076,0.622391939163208,0.9042201042175293,0.6345677375793457,0.8317633867263794,0.7305980920791626,1.0,0.2919554114341736,0.8599691390991211,0.33530738949775696,0.8286248445510864
Shooting#0,0.724842369556427,0.2340916395187378,0.14641781151294708,0.9432405829429626,0.7399846911430359,0.16564714908599854,0.595609188079834,0.3966476321220398,0.14704875648021698,0.2919554114341736,1.000000238418579,0.4532964825630188,0.9198817610740662,0.5316418409347534
Shoplifting#0,0.7406187057495117,0.7510124444961548,0.7000623941421509,0.3919864296913147,0.7839123010635376,0.8022382259368896,0.7631916403770447,0.8273345828056335,0.6307846307754517,0.8599691390991211,0.4532964825630188,0.9999997615814209,0.5250202417373657,0.8177276849746704
Stealing#0,0.802849531173706,0.31366223096847534,0.190254807472229,0.9275606274604797,0.7578421831130981,0.238027423620224,0.6721265912055969,0.4613274931907654,0.216596782207489,0.33530738949775696,0.9198817610740662,0.5250202417373657,0.9999997615814209,0.582916796207428
Vandalism#0,0.7778592705726624,0.7143176794052124,0.7395812273025513,0.47276678681373596,0.7264400720596313,0.7963931560516357,0.7888133525848389,0.8689990043640137,0.6648387908935547,0.8286248445510864,0.5316418409347534,0.8177276849746704,0.582916796207428,1.0
