label,criterion,rank,video_id,label,num_frames,positive_frames,baseline_classifier_mean,baseline_classifier_max,baseline_classifier_positive_mean,baseline_classifier_negative_mean,baseline_classifier_auc,baseline_classifier_ap,baseline_alignment_mean,baseline_alignment_max,baseline_alignment_positive_mean,baseline_alignment_negative_mean,baseline_alignment_auc,baseline_alignment_ap,manual_classifier_mean,delta_classifier_mean,manual_classifier_max,delta_classifier_max,manual_classifier_positive_mean,delta_classifier_positive_mean,manual_classifier_negative_mean,delta_classifier_negative_mean,manual_classifier_auc,delta_classifier_auc,manual_classifier_ap,delta_classifier_ap,manual_alignment_mean,delta_alignment_mean,manual_alignment_max,delta_alignment_max,manual_alignment_positive_mean,delta_alignment_positive_mean,manual_alignment_negative_mean,delta_alignment_negative_mean,manual_alignment_auc,delta_alignment_auc,manual_alignment_ap,delta_alignment_ap
Abuse,delta_classifier_auc,1,Abuse028_x264,Abuse,1408,75,0.8617116808891296,0.9985138773918152,0.9662609100341797,0.8558292984962463,51.73643410852713,6.367688064496575,0.9958226680755615,0.9996578693389893,0.9981895089149475,0.9956895112991333,49.59189797449362,6.150696596618814,0.7828150391578674,-0.07889664173126221,0.9978390336036682,-0.0006748437881469727,0.9105392694473267,-0.05572164058685303,0.7756287455558777,-0.08020055294036865,43.9584896224056,-7.777944486121527,5.443250217191167,-0.9244378473054082,0.973442018032074,-0.02238065004348755,0.9986167550086975,-0.001041114330291748,0.9924196600914001,-0.005769848823547363,0.9723742008209229,-0.02331531047821045,44.7266816704176,-4.8652163040760215,5.5283457268766405,-0.6223508697421734
Abuse,delta_classifier_auc,2,Abuse030_x264,Abuse,1536,85,0.9929139614105225,0.9998125433921814,0.999457597732544,0.9925305843353271,69.11541735922488,9.577626597772973,0.9960942268371582,0.9987035393714905,0.9976728558540344,0.9960017800331116,49.40973770624721,6.223381187835201,0.8773019313812256,-0.11561203002929688,0.9942852854728699,-0.0055272579193115234,0.9889017343521118,-0.010555863380432129,0.8707643747329712,-0.12176620960235596,72.44942635910326,3.334008999878378,10.539863551001094,0.9622369532281212,0.982647716999054,-0.013446509838104248,0.9944312572479248,-0.004272282123565674,0.990401029586792,-0.007271826267242432,0.9821935296058655,-0.013808250427246094,57.38800827015851,7.978270563911295,7.352876755407537,1.1294955675723362
Abuse,delta_alignment_auc,1,Abuse028_x264,Abuse,1408,75,0.8617116808891296,0.9985138773918152,0.9662609100341797,0.8558292984962463,51.73643410852713,6.367688064496575,0.9958226680755615,0.9996578693389893,0.9981895089149475,0.9956895112991333,49.59189797449362,6.150696596618814,0.7828150391578674,-0.07889664173126221,0.9978390336036682,-0.0006748437881469727,0.9105392694473267,-0.05572164058685303,0.7756287455558777,-0.08020055294036865,43.9584896224056,-7.777944486121527,5.443250217191167,-0.9244378473054082,0.973442018032074,-0.02238065004348755,0.9986167550086975,-0.001041114330291748,0.9924196600914001,-0.005769848823547363,0.9723742008209229,-0.02331531047821045,44.7266816704176,-4.8652163040760215,5.5283457268766405,-0.6223508697421734
Abuse,delta_alignment_auc,2,Abuse030_x264,Abuse,1536,85,0.9929139614105225,0.9998125433921814,0.999457597732544,0.9925305843353271,69.11541735922488,9.577626597772973,0.9960942268371582,0.9987035393714905,0.9976728558540344,0.9960017800331116,49.40973770624721,6.223381187835201,0.8773019313812256,-0.11561203002929688,0.9942852854728699,-0.0055272579193115234,0.9889017343521118,-0.010555863380432129,0.8707643747329712,-0.12176620960235596,72.44942635910326,3.334008999878378,10.539863551001094,0.9622369532281212,0.982647716999054,-0.013446509838104248,0.9944312572479248,-0.004272282123565674,0.990401029586792,-0.007271826267242432,0.9821935296058655,-0.013808250427246094,57.38800827015851,7.978270563911295,7.352876755407537,1.1294955675723362
Abuse,delta_classifier_positive_mean,1,Abuse028_x264,Abuse,1408,75,0.8617116808891296,0.9985138773918152,0.9662609100341797,0.8558292984962463,51.73643410852713,6.367688064496575,0.9958226680755615,0.9996578693389893,0.9981895089149475,0.9956895112991333,49.59189797449362,6.150696596618814,0.7828150391578674,-0.07889664173126221,0.9978390336036682,-0.0006748437881469727,0.9105392694473267,-0.05572164058685303,0.7756287455558777,-0.08020055294036865,43.9584896224056,-7.777944486121527,5.443250217191167,-0.9244378473054082,0.973442018032074,-0.02238065004348755,0.9986167550086975,-0.001041114330291748,0.9924196600914001,-0.005769848823547363,0.9723742008209229,-0.02331531047821045,44.7266816704176,-4.8652163040760215,5.5283457268766405,-0.6223508697421734
Abuse,delta_classifier_positive_mean,2,Abuse030_x264,Abuse,1536,85,0.9929139614105225,0.9998125433921814,0.999457597732544,0.9925305843353271,69.11541735922488,9.577626597772973,0.9960942268371582,0.9987035393714905,0.9976728558540344,0.9960017800331116,49.40973770624721,6.223381187835201,0.8773019313812256,-0.11561203002929688,0.9942852854728699,-0.0055272579193115234,0.9889017343521118,-0.010555863380432129,0.8707643747329712,-0.12176620960235596,72.44942635910326,3.334008999878378,10.539863551001094,0.9622369532281212,0.982647716999054,-0.013446509838104248,0.9944312572479248,-0.004272282123565674,0.990401029586792,-0.007271826267242432,0.9821935296058655,-0.013808250427246094,57.38800827015851,7.978270563911295,7.352876755407537,1.1294955675723362
Abuse,delta_alignment_positive_mean,1,Abuse030_x264,Abuse,1536,85,0.9929139614105225,0.9998125433921814,0.999457597732544,0.9925305843353271,69.11541735922488,9.577626597772973,0.9960942268371582,0.9987035393714905,0.9976728558540344,0.9960017800331116,49.40973770624721,6.223381187835201,0.8773019313812256,-0.11561203002929688,0.9942852854728699,-0.0055272579193115234,0.9889017343521118,-0.010555863380432129,0.8707643747329712,-0.12176620960235596,72.44942635910326,3.334008999878378,10.539863551001094,0.9622369532281212,0.982647716999054,-0.013446509838104248,0.9944312572479248,-0.004272282123565674,0.990401029586792,-0.007271826267242432,0.9821935296058655,-0.013808250427246094,57.38800827015851,7.978270563911295,7.352876755407537,1.1294955675723362
Abuse,delta_alignment_positive_mean,2,Abuse028_x264,Abuse,1408,75,0.8617116808891296,0.9985138773918152,0.9662609100341797,0.8558292984962463,51.73643410852713,6.367688064496575,0.9958226680755615,0.9996578693389893,0.9981895089149475,0.9956895112991333,49.59189797449362,6.150696596618814,0.7828150391578674,-0.07889664173126221,0.9978390336036682,-0.0006748437881469727,0.9105392694473267,-0.05572164058685303,0.7756287455558777,-0.08020055294036865,43.9584896224056,-7.777944486121527,5.443250217191167,-0.9244378473054082,0.973442018032074,-0.02238065004348755,0.9986167550086975,-0.001041114330291748,0.9924196600914001,-0.005769848823547363,0.9723742008209229,-0.02331531047821045,44.7266816704176,-4.8652163040760215,5.5283457268766405,-0.6223508697421734
Arrest,delta_classifier_auc,1,Arrest030_x264,Arrest,8640,1665,0.9869815111160278,0.9999940395355225,0.9999823570251465,0.9838781356811523,94.27715457392877,78.17053623625138,0.9984167218208313,0.9999738335609436,0.9999187588691711,0.9980581998825073,80.21709020848806,34.57953957658516,0.9635385274887085,-0.023442983627319336,0.9999872446060181,-6.794929504394531e-06,0.999919056892395,-6.330013275146484e-05,0.9548541903495789,-0.029023945331573486,84.26511242425221,-10.01204214967656,43.151122394075244,-35.019413842176135,0.996159553527832,-0.0022571682929992676,0.9999029040336609,-7.092952728271484e-05,0.9998260140419006,-9.274482727050781e-05,0.995284378528595,-0.0027738213539123535,89.07184603958798,8.854755831099922,56.619715467165065,22.040175890579903
Arrest,delta_classifier_auc,2,Arrest007_x264,Arrest,3136,630,0.7880198955535889,0.9999284744262695,0.9957724809646606,0.7357915639877319,99.70622886025919,99.15736607142858,0.9165781736373901,0.9999218583106995,0.9993320107460022,0.895774245262146,99.90891701186993,99.6533658140801,0.5297353863716125,-0.2582845091819763,0.9973993301391602,-0.002529144287109375,0.9310562610626221,-0.06471621990203857,0.4288446605205536,-0.30694690346717834,94.83563257705318,-4.870596283206012,84.92000564654214,-14.237360424886447,0.8741803765296936,-0.04239779710769653,0.9971795082092285,-0.0027423501014709473,0.988937497138977,-0.010394513607025146,0.8453308939933777,-0.05044335126876831,97.14425062389947,-2.7646663879704647,93.22831611646787,-6.425049697612238
Arrest,delta_classifier_auc,3,Arrest001_x264,Arrest,2368,300,0.4518764019012451,0.9980471134185791,0.9698720574378967,0.3767319321632385,98.38426821405545,90.03403346653347,0.6530710458755493,0.9905329346656799,0.9810068607330322,0.6054981350898743,99.59896840747905,97.37133478437828,0.25232580304145813,-0.199550598859787,0.9978118538856506,-0.0002352595329284668,0.9619703888893127,-0.007901668548583984,0.14937932789325714,-0.22735260426998138,99.28175370728563,0.8974854932301781,95.5053339022089,5.471300435675431,0.5490652322769165,-0.10400581359863281,0.9899687170982361,-0.0005642175674438477,0.9708555340766907,-0.010151326656341553,0.48787710070610046,-0.1176210343837738,99.5551257253385,-0.04384268214054998,97.0295580000028,-0.3417767843754831
