prompt,Normal#0,Abuse#0,Arrest#0,Arson#0,Assault#0,Burglary#0,Explosion#0,Fighting#0,RoadAccidents#0,Robbery#0,Shooting#0,Shoplifting#0,Stealing#0,Vandalism#0
Normal#0,1.0000001192092896,0.17677214741706848,0.022722121328115463,0.07365841418504715,0.0735093504190445,0.06841214001178741,0.19747357070446014,-0.004465434700250626,0.15479275584220886,0.06505018472671509,0.041050024330616,0.283333957195282,0.38778531551361084,0.05802807956933975
Abuse#0,0.17677214741706848,1.0000001192092896,0.8088732361793518,0.6593279242515564,0.8412199020385742,0.6506692171096802,0.7040939331054688,0.7907806038856506,0.6821215748786926,0.7709535360336304,0.7618991136550903,0.6006128191947937,0.606818675994873,0.6730308532714844
Arrest#0,0.022722121328115463,0.8088732361793518,1.0,0.7137541174888611,0.8558801412582397,0.7105453610420227,0.6673909425735474,0.7992446422576904,0.7138468027114868,0.8051037192344666,0.8028412461280823,0.5833761692047119,0.6232987642288208,0.7252374887466431
Arson#0,0.07365841418504715,0.6593279242515564,0.7137541174888611,0.9999999403953552,0.7378754615783691,0.5881108641624451,0.7176361083984375,0.6919894218444824,0.6031084060668945,0.6527245044708252,0.7856903076171875,0.48255178332328796,0.6496275663375854,0.674379825592041
Assault#0,0.0735093504190445,0.8412199020385742,0.8558801412582397,0.7378754615783691,1.0,0.6759896278381348,0.7604752779006958,0.8484697341918945,0.6967939138412476,0.804152250289917,0.8511103391647339,0.5658029317855835,0.6337635517120361,0.7239958047866821
Burglary#0,0.06841214001178741,0.6506692171096802,0.7105453610420227,0.5881108641624451,0.6759896278381348,0.9999998211860657,0.5384504795074463,0.6039013862609863,0.7022161483764648,0.8471469879150391,0.6750338077545166,0.7716035842895508,0.7391879558563232,0.738173246383667
Explosion#0,0.19747357070446014,0.7040939331054688,0.6673909425735474,0.7176361083984375,0.7604752779006958,0.5384504795074463,1.0,0.7391490340232849,0.621666669845581,0.6165151596069336,0.7742899656295776,0.46452444791793823,0.6017651557922363,0.6531991362571716
Fighting#0,-0.004465434700250626,0.7907806038856506,0.7992446422576904,0.6919894218444824,0.8484697341918945,0.6039013862609863,0.7391490340232849,1.0000001192092896,0.6549779176712036,0.723956823348999,0.7961843013763428,0.4633454978466034,0.5192425847053528,0.7115698456764221
RoadAccidents#0,0.15479275584220886,0.6821215748786926,0.7138468027114868,0.6031084060668945,0.6967939138412476,0.7022161483764648,0.621666669845581,0.6549779176712036,0.9999999403953552,0.7296861410140991,0.6647754907608032,0.6085022687911987,0.6001540422439575,0.7894576787948608
Robbery#0,0.06505018472671509,0.7709535360336304,0.8051037192344666,0.6527245044708252,0.804152250289917,0.8471469879150391,0.6165151596069336,0.723956823348999,0.7296861410140991,0.9999996423721313,0.7568082809448242,0.7705501317977905,0.7237330675125122,0.7555469274520874
Shooting#0,0.041050024330616,0.7618991136550903,0.8028412461280823,0.7856903076171875,0.8511103391647339,0.6750338077545166,0.7742899656295776,0.7961843013763428,0.6647754907608032,0.7568082809448242,1.000000238418579,0.4999433159828186,0.6297557950019836,0.7450313568115234
Shoplifting#0,0.283333957195282,0.6006128191947937,0.5833761692047119,0.48255178332328796,0.5658029317855835,0.7716035842895508,0.46452444791793823,0.4633454978466034,0.6085022687911987,0.7705501317977905,0.4999433159828186,1.0,0.753585696220398,0.5438295006752014
Stealing#0,0.38778531551361084,0.606818675994873,0.6232987642288208,0.6496275663375854,0.6337635517120361,0.7391879558563232,0.6017651557922363,0.5192425847053528,0.6001540422439575,0.7237330675125122,0.6297557950019836,0.753585696220398,1.0,0.6304232478141785
Vandalism#0,0.05802807956933975,0.6730308532714844,0.7252374887466431,0.674379825592041,0.7239958047866821,0.738173246383667,0.6531991362571716,0.7115698456764221,0.7894576787948608,0.7555469274520874,0.7450313568115234,0.5438295006752014,0.6304232478141785,1.0
