class_name,Normal,Abuse,Arrest,Arson,Assault,Burglary,Explosion,Fighting,RoadAccidents,Robbery,Shooting,Shoplifting,Stealing,Vandalism
Normal,0.9999999403953552,0.17677214741706848,0.02272212877869606,0.07365841418504715,0.0735093355178833,0.06841213256120682,0.19747357070446014,-0.004465408623218536,0.15479275584220886,0.06505019217729568,0.041050024330616,0.283333957195282,0.3877852261066437,0.05802806466817856
Abuse,0.17677214741706848,1.0000001192092896,0.8088732957839966,0.659328043460846,0.841219961643219,0.650669276714325,0.7040939331054688,0.7907806634902954,0.682121753692627,0.7709537744522095,0.7618991732597351,0.6006128787994385,0.6068186163902283,0.6730308532714844
Arrest,0.02272212877869606,0.8088732957839966,1.0,0.7137541770935059,0.8558801412582397,0.7105453610420227,0.6673909425735474,0.7992446422576904,0.7138468623161316,0.8051037788391113,0.8028412461280823,0.5833761692047119,0.6232987642288208,0.7252374887466431
Arson,0.07365841418504715,0.659328043460846,0.7137541770935059,1.0,0.7378755211830139,0.5881109237670898,0.717636227607727,0.6919894814491272,0.6031085252761841,0.6527246236801147,0.7856903076171875,0.48255178332328796,0.6496276259422302,0.6743799448013306
Assault,0.0735093355178833,0.841219961643219,0.8558801412582397,0.7378755211830139,1.0,0.6759896278381348,0.7604752779006958,0.8484697341918945,0.6967939734458923,0.8041523694992065,0.8511103391647339,0.5658029317855835,0.6337635517120361,0.7239958047866821
Burglary,0.06841213256120682,0.650669276714325,0.7105453610420227,0.5881109237670898,0.6759896278381348,0.9999998211860657,0.5384504795074463,0.6039013862609863,0.7022162079811096,0.8471471071243286,0.6750338077545166,0.7716035842895508,0.7391879558563232,0.738173246383667
Explosion,0.19747357070446014,0.7040939331054688,0.6673909425735474,0.717636227607727,0.7604752779006958,0.5384504795074463,1.0,0.7391490340232849,0.6216667294502258,0.6165151596069336,0.7742899656295776,0.46452444791793823,0.6017651557922363,0.6531991362571716
Fighting,-0.004465408623218536,0.7907806634902954,0.7992446422576904,0.6919894814491272,0.8484697341918945,0.6039013862609863,0.7391490340232849,1.0000001192092896,0.6549779176712036,0.7239568829536438,0.7961843013763428,0.4633454978466034,0.5192425847053528,0.7115698456764221
RoadAccidents,0.15479275584220886,0.682121753692627,0.7138468623161316,0.6031085252761841,0.6967939734458923,0.7022162079811096,0.6216667294502258,0.6549779176712036,1.0000001192092896,0.7296862602233887,0.664775550365448,0.6085022687911987,0.6001540422439575,0.7894577980041504
Robbery,0.06505019217729568,0.7709537744522095,0.8051037788391113,0.6527246236801147,0.8041523694992065,0.8471471071243286,0.6165151596069336,0.7239568829536438,0.7296862602233887,0.9999998807907104,0.7568084001541138,0.7705501914024353,0.7237331867218018,0.7555469870567322
Shooting,0.041050024330616,0.7618991732597351,0.8028412461280823,0.7856903076171875,0.8511103391647339,0.6750338077545166,0.7742899656295776,0.7961843013763428,0.664775550365448,0.7568084001541138,1.000000238418579,0.4999433159828186,0.6297557950019836,0.7450313568115234
Shoplifting,0.283333957195282,0.6006128787994385,0.5833761692047119,0.48255178332328796,0.5658029317855835,0.7716035842895508,0.46452444791793823,0.4633454978466034,0.6085022687911987,0.7705501914024353,0.4999433159828186,1.0,0.753585696220398,0.5438295006752014
Stealing,0.3877852261066437,0.6068186163902283,0.6232987642288208,0.6496276259422302,0.6337635517120361,0.7391879558563232,0.6017651557922363,0.5192425847053528,0.6001540422439575,0.7237331867218018,0.6297557950019836,0.753585696220398,1.0,0.6304232478141785
Vandalism,0.05802806466817856,0.6730308532714844,0.7252374887466431,0.6743799448013306,0.7239958047866821,0.738173246383667,0.6531991362571716,0.7115698456764221,0.7894577980041504,0.7555469870567322,0.7450313568115234,0.5438295006752014,0.6304232478141785,1.0
