prompt,Normal#0,Normal#1,Normal#2,Normal#3,Normal#4,Abuse#0,Abuse#1,Abuse#2,Abuse#3,Abuse#4,Arrest#0,Arrest#1,Arrest#2,Arrest#3,Arrest#4,Arson#0,Arson#1,Arson#2,Arson#3,Arson#4,Assault#0,Assault#1,Assault#2,Assault#3,Assault#4,Burglary#0,Burglary#1,Burglary#2,Burglary#3,Burglary#4,Explosion#0,Explosion#1,Explosion#2,Explosion#3,Explosion#4,Fighting#0,Fighting#1,Fighting#2,Fighting#3,Fighting#4,RoadAccidents#0,RoadAccidents#1,RoadAccidents#2,RoadAccidents#3,RoadAccidents#4,Robbery#0,Robbery#1,Robbery#2,Robbery#3,Robbery#4,Shooting#0,Shooting#1,Shooting#2,Shooting#3,Shooting#4,Shoplifting#0,Shoplifting#1,Shoplifting#2,Shoplifting#3,Shoplifting#4,Stealing#0,Stealing#1,Stealing#2,Stealing#3,Stealing#4,Vandalism#0,Vandalism#1,Vandalism#2,Vandalism#3,Vandalism#4
Normal#0,0.9999997615814209,0.8760146498680115,0.8582124710083008,0.8243557214736938,0.8774833679199219,0.195534348487854,0.21545714139938354,0.3466038703918457,0.13933894038200378,0.20550858974456787,0.11751630902290344,0.23149876296520233,0.13259592652320862,0.2875445783138275,0.15531039237976074,0.2886474132537842,0.36351895332336426,0.2527499198913574,0.2363167703151703,0.09424958378076553,0.26086726784706116,0.10217862576246262,0.18556855618953705,0.21004799008369446,0.2535477876663208,0.23017442226409912,0.1569003462791443,0.25604596734046936,0.13194487988948822,0.14170685410499573,0.09170779585838318,0.3923739194869995,0.24319344758987427,0.14034220576286316,0.27409911155700684,0.28423720598220825,0.2477286458015442,0.24122841656208038,0.21151843667030334,0.19853603839874268,0.06979114562273026,0.32904601097106934,0.3980937600135803,0.36913633346557617,0.08093178272247314,0.23705655336380005,0.17700284719467163,0.21608835458755493,0.2503402829170227,0.2291596382856369,0.2892056703567505,0.1820119321346283,0.20543186366558075,0.20776256918907166,0.23238368332386017,0.2331337183713913,0.2974258065223694,0.38585227727890015,0.1975512057542801,0.227484792470932,0.2186065912246704,0.07738317549228668,0.17696094512939453,0.16306468844413757,0.15469348430633545,0.40019723773002625,0.3422965109348297,0.2517167329788208,0.13761168718338013,0.19915547966957092
Normal#1,0.8760146498680115,1.0,0.8241300582885742,0.8425042033195496,0.8831157088279724,0.1695077121257782,0.16577045619487762,0.34004369378089905,0.10942602157592773,0.17029975354671478,0.08754140138626099,0.2227153331041336,0.10630075633525848,0.29587945342063904,0.140150249004364,0.33727437257766724,0.40451285243034363,0.26817768812179565,0.3116360604763031,0.007843174040317535,0.2837928831577301,0.06924445182085037,0.1605568379163742,0.22812867164611816,0.3088621497154236,0.15810179710388184,0.15026706457138062,0.11864259093999863,0.03722221404314041,-0.006883224472403526,0.07366988062858582,0.3887839913368225,0.23744931817054749,0.1718745231628418,0.3320070207118988,0.27708733081817627,0.17777861654758453,0.321027547121048,0.20614875853061676,0.19454434514045715,-0.10131469368934631,0.28540340065956116,0.2981764078140259,0.24351999163627625,-0.06759985536336899,0.11972197890281677,0.05677208676934242,0.12043103575706482,0.23638837039470673,0.1798257827758789,0.32777711749076843,0.22797660529613495,0.21284624934196472,0.2295297086238861,0.20263805985450745,0.16805951297283173,0.2598225772380829,0.420566201210022,0.0849335640668869,0.27344080805778503,0.15402717888355255,-0.0611407533288002,0.09440437704324722,0.019271500408649445,0.01710057631134987,0.3736341595649719,0.3888336718082428,0.3699494004249573,0.02683216892182827,0.043544188141822815
Normal#2,0.8582124710083008,0.8241300582885742,1.0,0.893251895904541,0.888507604598999,0.077940933406353,0.08206161856651306,0.2050561010837555,0.05076604709029198,0.07639467716217041,0.04026009887456894,0.11725899577140808,0.051973164081573486,0.1835743486881256,0.08095055818557739,0.24442195892333984,0.2437744289636612,0.202122762799263,0.18319860100746155,-0.03611848130822182,0.1714954823255539,0.0089108319953084,0.0817824974656105,0.11196304857730865,0.18945220112800598,0.0641104206442833,0.006407875567674637,0.09511898458003998,-0.010208248160779476,-0.05980752035975456,-0.002941122278571129,0.33075177669525146,0.10156456381082535,0.07543089985847473,0.1819649487733841,0.17884346842765808,0.14653432369232178,0.1517641693353653,0.1339922547340393,0.10781189054250717,-0.04179014265537262,0.2320241928100586,0.27837347984313965,0.24530214071273804,0.015793530270457268,0.08000738173723221,0.09215045720338821,0.06029501557350159,0.15846660733222961,0.09995576739311218,0.20453712344169617,0.11587467789649963,0.18655145168304443,0.09987436234951019,0.08935067057609558,0.06574908643960953,0.14694072306156158,0.2605140209197998,0.039961330592632294,0.15249589085578918,0.09344708919525146,-0.08767905831336975,0.039069823920726776,-0.0037574097514152527,0.04318157956004143,0.2749400734901428,0.23850616812705994,0.1888267695903778,-0.019339196383953094,0.07225023210048676
Normal#3,0.8243557214736938,0.8425042033195496,0.893251895904541,1.0000001192092896,0.87230384349823,0.07594955712556839,0.08996120095252991,0.22437795996665955,0.04803786426782608,0.07983037829399109,0.025926779955625534,0.13409800827503204,0.03801286593079567,0.23194169998168945,0.07220788300037384,0.2719419002532959,0.28992098569869995,0.20913812518119812,0.21446382999420166,-0.059682078659534454,0.20299682021141052,0.00432649627327919,0.08583872020244598,0.14723235368728638,0.23255515098571777,0.08903533220291138,0.03035230003297329,0.10550602525472641,-0.01998697966337204,-0.06426633894443512,-0.002627091482281685,0.3317219018936157,0.1226092278957367,0.09156617522239685,0.2176094651222229,0.1804095357656479,0.14566752314567566,0.1905578076839447,0.11760607361793518,0.10785385221242905,-0.1132836788892746,0.21288646757602692,0.24425861239433289,0.1820836067199707,-0.07602693140506744,0.08000746369361877,0.0795307382941246,0.09211848676204681,0.19205117225646973,0.11124017834663391,0.2298194169998169,0.14837642014026642,0.1933181881904602,0.1347224861383438,0.09401586651802063,0.1541445106267929,0.2441406548023224,0.3457297086715698,0.1282416582107544,0.24091976881027222,0.12463898211717606,-0.11856785416603088,0.037029534578323364,-0.009798377752304077,0.009922989644110203,0.33229291439056396,0.26389074325561523,0.23836877942085266,-0.02097024954855442,0.03734269738197327
Normal#4,0.8774833679199219,0.8831157088279724,0.888507604598999,0.87230384349823,1.0,0.03379610925912857,0.07237651944160461,0.1988614797592163,0.021046385169029236,0.041433755308389664,-0.036777157336473465,0.0746934786438942,-0.030045054852962494,0.1751529425382614,0.012804752215743065,0.19091658294200897,0.263018399477005,0.15111687779426575,0.15118010342121124,-0.06624655425548553,0.1467871218919754,-0.03098815493285656,0.03228800743818283,0.08471100777387619,0.17797884345054626,0.04367142915725708,-0.013233516365289688,0.08282217383384705,-0.0347599983215332,-0.04572111740708351,-0.046701349318027496,0.2768135070800781,0.09220600128173828,0.031772930175065994,0.1771117001771927,0.14271646738052368,0.11407989263534546,0.15237808227539062,0.07906828820705414,0.05495221167802811,-0.11568207293748856,0.13284197449684143,0.20088261365890503,0.15839755535125732,-0.1010507345199585,0.045627787709236145,0.03135158121585846,0.04242950677871704,0.11245644092559814,0.06813924759626389,0.162777841091156,0.09143691509962082,0.09937471896409988,0.06316201388835907,0.05500451847910881,0.05563998967409134,0.14906595647335052,0.26348310708999634,0.021144188940525055,0.12886177003383636,0.061666373163461685,-0.13117198646068573,-0.008163036778569221,-0.05065314099192619,-0.03562576696276665,0.2831926941871643,0.2006990611553192,0.16479066014289856,-0.05399089679121971,0.007413308136165142
Abuse#0,0.195534348487854,0.1695077121257782,0.077940933406353,0.07594955712556839,0.03379610925912857,1.0,0.8553372621536255,0.8182129859924316,0.8553130626678467,0.9003028273582458,0.8017442226409912,0.7660560011863708,0.803289532661438,0.7032926678657532,0.7946436405181885,0.6590869426727295,0.6744894981384277,0.7675304412841797,0.6450064182281494,0.8044427633285522,0.7728534936904907,0.7929604053497314,0.8495346307754517,0.7603332996368408,0.7543306946754456,0.8387609720230103,0.8277759552001953,0.7131485342979431,0.73909592628479,0.7164771556854248,0.7801085710525513,0.721861720085144,0.8606567978858948,0.8331889510154724,0.6766067743301392,0.7922239303588867,0.755530595779419,0.7263009548187256,0.8048783540725708,0.8209031820297241,0.5354645252227783,0.704658567905426,0.6728001832962036,0.7317577600479126,0.5911474227905273,0.736797571182251,0.701043963432312,0.7198371887207031,0.7420177459716797,0.8378664255142212,0.684519350528717,0.7013550996780396,0.7152820825576782,0.7796815633773804,0.8504887819290161,0.704369068145752,0.6522771716117859,0.6796720027923584,0.6042608022689819,0.6895902156829834,0.7303286194801331,0.6694821119308472,0.7374863624572754,0.665894627571106,0.6471027135848999,0.6205750703811646,0.6981296539306641,0.624870777130127,0.7782564163208008,0.6325550675392151
Abuse#1,0.21545714139938354,0.16577045619487762,0.08206161856651306,0.08996120095252991,0.07237651944160461,0.8553372621536255,1.0,0.7628072500228882,0.8801268339157104,0.8538521528244019,0.7092518210411072,0.6824686527252197,0.7404376268386841,0.6771185994148254,0.7119632959365845,0.5952247977256775,0.6380212306976318,0.721671462059021,0.5706833600997925,0.7804611921310425,0.7959067225456238,0.8362622261047363,0.9065390229225159,0.7940965294837952,0.7529937624931335,0.8090672492980957,0.7810701727867126,0.7484314441680908,0.7279351949691772,0.7428284883499146,0.7913545966148376,0.7675175666809082,0.816557765007019,0.8208137154579163,0.6284863352775574,0.8608251810073853,0.7713564038276672,0.7103123664855957,0.8126644492149353,0.874138355255127,0.542169988155365,0.6574671268463135,0.653624415397644,0.750784158706665,0.5852221250534058,0.7250066995620728,0.7068097591400146,0.7326165437698364,0.6950210928916931,0.8856397271156311,0.6310611367225647,0.6564366817474365,0.6670124530792236,0.7608479261398315,0.8022261261940002,0.7236049175262451,0.6542459726333618,0.609260618686676,0.6356968283653259,0.6368491053581238,0.7413731813430786,0.6622955799102783,0.746347188949585,0.6757237911224365,0.6384025812149048,0.6232661008834839,0.6528955101966858,0.5375454425811768,0.8040955066680908,0.6141305565834045
Abuse#2,0.3466038703918457,0.34004369378089905,0.2050561010837555,0.22437795996665955,0.1988614797592163,0.8182129859924316,0.7628072500228882,1.0,0.6807888746261597,0.8530086874961853,0.7444771528244019,0.8476899862289429,0.7323608994483948,0.857982337474823,0.7846388816833496,0.7573657035827637,0.8477391004562378,0.741499662399292,0.7719594240188599,0.6818603277206421,0.8061633110046387,0.6218945384025574,0.7742723226547241,0.7665673494338989,0.737101674079895,0.8019232749938965,0.807305634021759,0.6867385506629944,0.6135430335998535,0.5702893733978271,0.7406271696090698,0.7708110213279724,0.8701748847961426,0.7640615105628967,0.8477460145950317,0.7967839241027832,0.7302713394165039,0.810325562953949,0.7885947823524475,0.7593005895614624,0.3775379955768585,0.7823466062545776,0.741463840007782,0.6910325288772583,0.48440659046173096,0.7107865810394287,0.6021537780761719,0.7590241432189941,0.8100537061691284,0.8017206192016602,0.8323224782943726,0.7567348480224609,0.7281122207641602,0.8138406872749329,0.881881058216095,0.7397602796554565,0.7895640134811401,0.8029370307922363,0.5844890475273132,0.7471868991851807,0.7627048492431641,0.48372209072113037,0.7184766530990601,0.5871226787567139,0.5532867312431335,0.7662854194641113,0.8500077724456787,0.7838850021362305,0.6509431600570679,0.4862009882926941
Abuse#3,0.13933894038200378,0.10942602157592773,0.05076604709029198,0.04803786426782608,0.021046385169029236,0.8553130626678467,0.8801268339157104,0.6807888746261597,1.0,0.8081835508346558,0.7194629907608032,0.6546263694763184,0.7640776634216309,0.5953317880630493,0.7341213226318359,0.51402747631073,0.5369429588317871,0.6628339290618896,0.48060131072998047,0.7393605709075928,0.7551060318946838,0.8583635687828064,0.8697914481163025,0.8383947014808655,0.8010450601577759,0.7415334582328796,0.6985843181610107,0.658926248550415,0.6998583078384399,0.6711490750312805,0.6799183487892151,0.6444798707962036,0.7612999677658081,0.7463809251785278,0.5207924246788025,0.7553936243057251,0.7914371490478516,0.6637166142463684,0.7360917329788208,0.7992922067642212,0.5322486162185669,0.6047458052635193,0.5690803527832031,0.6508098840713501,0.5560774207115173,0.6939489841461182,0.745354175567627,0.6975880265235901,0.6105873584747314,0.8621237874031067,0.5677964687347412,0.6411030888557434,0.6467829942703247,0.7105690240859985,0.7747297286987305,0.6482201814651489,0.5703878998756409,0.5413645505905151,0.5743483304977417,0.5642186403274536,0.6879557371139526,0.6676031351089478,0.7077698111534119,0.6496975421905518,0.6511201858520508,0.5326646566390991,0.5515782833099365,0.45509254932403564,0.7798027992248535,0.6115339994430542
Abuse#4,0.20550858974456787,0.17029975354671478,0.07639467716217041,0.07983037829399109,0.041433755308389664,0.9003028273582458,0.8538521528244019,0.8530086874961853,0.8081835508346558,1.0,0.8254660367965698,0.8203274011611938,0.8304154872894287,0.7534384727478027,0.8340837359428406,0.6345667839050293,0.6869887113571167,0.7505993843078613,0.612676739692688,0.800625205039978,0.8035546541213989,0.7865337133407593,0.8698382377624512,0.7765495181083679,0.7206913232803345,0.8555397987365723,0.8250995874404907,0.769734263420105,0.742772102355957,0.7151404619216919,0.7865004539489746,0.7145426273345947,0.8499504327774048,0.7850481271743774,0.6794843077659607,0.8272964954376221,0.799801230430603,0.724979043006897,0.8204561471939087,0.8171766400337219,0.5325441360473633,0.7602852582931519,0.7228083610534668,0.7390552759170532,0.6097438335418701,0.7927626371383667,0.7069863080978394,0.8074892163276672,0.7598444819450378,0.856767475605011,0.7172387838363647,0.713871955871582,0.7028347253799438,0.7895247340202332,0.8554835319519043,0.7614327669143677,0.7123171091079712,0.6675087213516235,0.6648044586181641,0.6776337623596191,0.8056138753890991,0.6704763770103455,0.8147293329238892,0.7410827875137329,0.676316499710083,0.6762421131134033,0.7108179926872253,0.611813485622406,0.7978166937828064,0.6319052577018738
