class_name,Normal,Abuse,Arrest,Arson,Assault,Burglary,Explosion,Fighting,RoadAccidents,Robbery,Shooting,Shoplifting,Stealing,Vandalism
Normal,0.9999998807907104,0.15683335065841675,0.1350294053554535,0.24002543091773987,0.1699426770210266,0.0760267972946167,0.20004622638225555,0.20223286747932434,0.16359028220176697,0.14923763275146484,0.19720584154129028,0.23735091090202332,0.045084673911333084,0.24780359864234924
Abuse,0.15683335065841675,0.9999997615814209,0.8796671628952026,0.8307784795761108,0.9225500822067261,0.8707547187805176,0.8873624205589294,0.9214716553688049,0.7813655138015747,0.895820677280426,0.8603051900863647,0.8121215105056763,0.8014920949935913,0.8761035203933716
Arrest,0.1350294053554535,0.8796671628952026,1.0000003576278687,0.7956376075744629,0.8163780570030212,0.7978332042694092,0.8014575242996216,0.8281717896461487,0.7708207368850708,0.8597960472106934,0.8845005631446838,0.8031113147735596,0.7769962549209595,0.8360065817832947
Arson,0.24002543091773987,0.8307784795761108,0.7956376075744629,1.0000001192092896,0.7980914115905762,0.7268766760826111,0.9312129616737366,0.8600224256515503,0.7088570594787598,0.7812182903289795,0.8863434195518494,0.8030803203582764,0.6406205892562866,0.9009058475494385
Assault,0.1699426770210266,0.9225500822067261,0.8163780570030212,0.7980914115905762,1.0000003576278687,0.7452524900436401,0.8609278798103333,0.9313706159591675,0.7045019865036011,0.8209708333015442,0.8426281213760376,0.7538379430770874,0.7090381383895874,0.8399972915649414
Burglary,0.0760267972946167,0.8707547187805176,0.7978332042694092,0.7268766760826111,0.7452524900436401,1.000000238418579,0.7793469429016113,0.7875038385391235,0.7988866567611694,0.8797101378440857,0.747471809387207,0.7881038188934326,0.8773163557052612,0.8327561616897583
Explosion,0.20004622638225555,0.8873624205589294,0.8014575242996216,0.9312129616737366,0.8609278798103333,0.7793469429016113,1.0000001192092896,0.9203810691833496,0.7303212881088257,0.7957056164741516,0.8722480535507202,0.8178675174713135,0.6736754179000854,0.8932178616523743
Fighting,0.20223286747932434,0.9214716553688049,0.8281717896461487,0.8600224256515503,0.9313706159591675,0.7875038385391235,0.9203810691833496,1.0,0.7422226071357727,0.839384138584137,0.85985267162323,0.7931658029556274,0.7177215218544006,0.8760746717453003
RoadAccidents,0.16359028220176697,0.7813655138015747,0.7708207368850708,0.7088570594787598,0.7045019865036011,0.7988866567611694,0.7303212881088257,0.7422226071357727,1.0000001192092896,0.8293136954307556,0.7148270606994629,0.71881103515625,0.8573096990585327,0.7996583580970764
Robbery,0.14923763275146484,0.895820677280426,0.8597960472106934,0.7812182903289795,0.8209708333015442,0.8797101378440857,0.7957056164741516,0.839384138584137,0.8293136954307556,1.0,0.8352412581443787,0.8514316082000732,0.8987428545951843,0.8653994202613831
Shooting,0.19720584154129028,0.8603051900863647,0.8845005631446838,0.8863434195518494,0.8426281213760376,0.747471809387207,0.8722480535507202,0.85985267162323,0.7148270606994629,0.8352412581443787,1.0000001192092896,0.8122971057891846,0.6827912330627441,0.8841733932495117
Shoplifting,0.23735091090202332,0.8121215105056763,0.8031113147735596,0.8030803203582764,0.7538379430770874,0.7881038188934326,0.8178675174713135,0.7931658029556274,0.71881103515625,0.8514316082000732,0.8122971057891846,1.0000001192092896,0.763979434967041,0.8407849073410034
Stealing,0.045084673911333084,0.8014920949935913,0.7769962549209595,0.6406205892562866,0.7090381383895874,0.8773163557052612,0.6736754179000854,0.7177215218544006,0.8573096990585327,0.8987428545951843,0.6827912330627441,0.763979434967041,1.000000238418579,0.7820878028869629
Vandalism,0.24780359864234924,0.8761035203933716,0.8360065817832947,0.9009058475494385,0.8399972915649414,0.8327561616897583,0.8932178616523743,0.8760746717453003,0.7996583580970764,0.8653994202613831,0.8841733932495117,0.8407849073410034,0.7820878028869629,1.0
