label,criterion,rank,video_id,label,num_frames,positive_frames,baseline_classifier_mean,baseline_classifier_max,baseline_classifier_positive_mean,baseline_classifier_negative_mean,baseline_classifier_auc,baseline_classifier_ap,baseline_alignment_mean,baseline_alignment_max,baseline_alignment_positive_mean,baseline_alignment_negative_mean,baseline_alignment_auc,baseline_alignment_ap,manual_classifier_mean,delta_classifier_mean,manual_classifier_max,delta_classifier_max,manual_classifier_positive_mean,delta_classifier_positive_mean,manual_classifier_negative_mean,delta_classifier_negative_mean,manual_classifier_auc,delta_classifier_auc,manual_classifier_ap,delta_classifier_ap,manual_alignment_mean,delta_alignment_mean,manual_alignment_max,delta_alignment_max,manual_alignment_positive_mean,delta_alignment_positive_mean,manual_alignment_negative_mean,delta_alignment_negative_mean,manual_alignment_auc,delta_alignment_auc,manual_alignment_ap,delta_alignment_ap
Abuse,delta_classifier_auc,1,Abuse030_x264,Abuse,1536,85,0.9929139614105225,0.9998125433921814,0.999457597732544,0.9925305843353271,69.11541735922488,9.577626597772973,0.9960942268371582,0.9987035393714905,0.9976728558540344,0.9960017800331116,49.40973770624721,6.223381187835201,0.9503787159919739,-0.042535245418548584,0.9989774227142334,-0.000835120677947998,0.9957908987998962,-0.003666698932647705,0.9477183818817139,-0.04481220245361328,57.0507155308712,-12.064701828353677,7.24302573730593,-2.3346008604670425,0.9927113056182861,-0.0033829212188720703,0.9983451962471008,-0.00035834312438964844,0.9975743889808655,-9.846687316894531e-05,0.9924263954162598,-0.0035753846168518066,54.43021040256212,5.020472696314904,6.889787959392149,0.6664067715569484
Abuse,delta_classifier_auc,2,Abuse028_x264,Abuse,1408,75,0.8617116808891296,0.9985138773918152,0.9662609100341797,0.8558292984962463,51.73643410852713,6.367688064496575,0.9958226680755615,0.9996578693389893,0.9981895089149475,0.9956895112991333,49.59189797449362,6.150696596618814,0.9235696196556091,0.06185793876647949,0.9999598264694214,0.0014459490776062012,0.9913815259933472,0.02512061595916748,0.9197542667388916,0.06392496824264526,45.91097774443611,-5.825456364091018,5.691424380959265,-0.6762636835373108,0.9781705737113953,-0.01765209436416626,0.999001145362854,-0.0006567239761352539,0.9951888918876648,-0.003000617027282715,0.9772128462791443,-0.018476665019989014,41.8139534883721,-7.77794448612152,5.314258513317206,-0.8364380833016076
Abuse,delta_alignment_auc,1,Abuse028_x264,Abuse,1408,75,0.8617116808891296,0.9985138773918152,0.9662609100341797,0.8558292984962463,51.73643410852713,6.367688064496575,0.9958226680755615,0.9996578693389893,0.9981895089149475,0.9956895112991333,49.59189797449362,6.150696596618814,0.9235696196556091,0.06185793876647949,0.9999598264694214,0.0014459490776062012,0.9913815259933472,0.02512061595916748,0.9197542667388916,0.06392496824264526,45.91097774443611,-5.825456364091018,5.691424380959265,-0.6762636835373108,0.9781705737113953,-0.01765209436416626,0.999001145362854,-0.0006567239761352539,0.9951888918876648,-0.003000617027282715,0.9772128462791443,-0.018476665019989014,41.8139534883721,-7.77794448612152,5.314258513317206,-0.8364380833016076
Abuse,delta_alignment_auc,2,Abuse030_x264,Abuse,1536,85,0.9929139614105225,0.9998125433921814,0.999457597732544,0.9925305843353271,69.11541735922488,9.577626597772973,0.9960942268371582,0.9987035393714905,0.9976728558540344,0.9960017800331116,49.40973770624721,6.223381187835201,0.9503787159919739,-0.042535245418548584,0.9989774227142334,-0.000835120677947998,0.9957908987998962,-0.003666698932647705,0.9477183818817139,-0.04481220245361328,57.0507155308712,-12.064701828353677,7.24302573730593,-2.3346008604670425,0.9927113056182861,-0.0033829212188720703,0.9983451962471008,-0.00035834312438964844,0.9975743889808655,-9.846687316894531e-05,0.9924263954162598,-0.0035753846168518066,54.43021040256212,5.020472696314904,6.889787959392149,0.6664067715569484
Abuse,delta_classifier_positive_mean,1,Abuse030_x264,Abuse,1536,85,0.9929139614105225,0.9998125433921814,0.999457597732544,0.9925305843353271,69.11541735922488,9.577626597772973,0.9960942268371582,0.9987035393714905,0.9976728558540344,0.9960017800331116,49.40973770624721,6.223381187835201,0.9503787159919739,-0.042535245418548584,0.9989774227142334,-0.000835120677947998,0.9957908987998962,-0.003666698932647705,0.9477183818817139,-0.04481220245361328,57.0507155308712,-12.064701828353677,7.24302573730593,-2.3346008604670425,0.9927113056182861,-0.0033829212188720703,0.9983451962471008,-0.00035834312438964844,0.9975743889808655,-9.846687316894531e-05,0.9924263954162598,-0.0035753846168518066,54.43021040256212,5.020472696314904,6.889787959392149,0.6664067715569484
Abuse,delta_classifier_positive_mean,2,Abuse028_x264,Abuse,1408,75,0.8617116808891296,0.9985138773918152,0.9662609100341797,0.8558292984962463,51.73643410852713,6.367688064496575,0.9958226680755615,0.9996578693389893,0.9981895089149475,0.9956895112991333,49.59189797449362,6.150696596618814,0.9235696196556091,0.06185793876647949,0.9999598264694214,0.0014459490776062012,0.9913815259933472,0.02512061595916748,0.9197542667388916,0.06392496824264526,45.91097774443611,-5.825456364091018,5.691424380959265,-0.6762636835373108,0.9781705737113953,-0.01765209436416626,0.999001145362854,-0.0006567239761352539,0.9951888918876648,-0.003000617027282715,0.9772128462791443,-0.018476665019989014,41.8139534883721,-7.77794448612152,5.314258513317206,-0.8364380833016076
Abuse,delta_alignment_positive_mean,1,Abuse028_x264,Abuse,1408,75,0.8617116808891296,0.9985138773918152,0.9662609100341797,0.8558292984962463,51.73643410852713,6.367688064496575,0.9958226680755615,0.9996578693389893,0.9981895089149475,0.9956895112991333,49.59189797449362,6.150696596618814,0.9235696196556091,0.06185793876647949,0.9999598264694214,0.0014459490776062012,0.9913815259933472,0.02512061595916748,0.9197542667388916,0.06392496824264526,45.91097774443611,-5.825456364091018,5.691424380959265,-0.6762636835373108,0.9781705737113953,-0.01765209436416626,0.999001145362854,-0.0006567239761352539,0.9951888918876648,-0.003000617027282715,0.9772128462791443,-0.018476665019989014,41.8139534883721,-7.77794448612152,5.314258513317206,-0.8364380833016076
Abuse,delta_alignment_positive_mean,2,Abuse030_x264,Abuse,1536,85,0.9929139614105225,0.9998125433921814,0.999457597732544,0.9925305843353271,69.11541735922488,9.577626597772973,0.9960942268371582,0.9987035393714905,0.9976728558540344,0.9960017800331116,49.40973770624721,6.223381187835201,0.9503787159919739,-0.042535245418548584,0.9989774227142334,-0.000835120677947998,0.9957908987998962,-0.003666698932647705,0.9477183818817139,-0.04481220245361328,57.0507155308712,-12.064701828353677,7.24302573730593,-2.3346008604670425,0.9927113056182861,-0.0033829212188720703,0.9983451962471008,-0.00035834312438964844,0.9975743889808655,-9.846687316894531e-05,0.9924263954162598,-0.0035753846168518066,54.43021040256212,5.020472696314904,6.889787959392149,0.6664067715569484
Arrest,delta_classifier_auc,1,Arrest030_x264,Arrest,8640,1665,0.9869815111160278,0.9999940395355225,0.9999823570251465,0.9838781356811523,94.27715457392877,78.17053623625138,0.9984167218208313,0.9999738335609436,0.9999187588691711,0.9980581998825073,80.21709020848806,34.57953957658516,0.9761146903038025,-0.010866820812225342,0.9999978542327881,3.814697265625e-06,0.9999781250953674,-4.231929779052734e-06,0.9704183340072632,-0.01345980167388916,77.05576974824287,-17.221384825685902,32.28265837330299,-45.887877862948386,0.9949710369110107,-0.0034456849098205566,0.9996309280395508,-0.00034290552139282227,0.9992793202400208,-0.0006394386291503906,0.9939426779747009,-0.0041155219078063965,74.6143089325885,-5.602781275899559,28.813115747884865,-5.766423828700297
Arrest,delta_classifier_auc,2,Arrest024_x264,Arrest,3616,2100,0.9995573163032532,0.9999921321868896,0.9998852610588074,0.9991028904914856,51.493152406081165,55.06442484182102,0.9997256398200989,0.9999205470085144,0.9997170567512512,0.9997373223304749,39.684633747958294,48.4604455660679,0.9995715618133545,1.424551010131836e-05,0.9999932050704956,1.0728836059570312e-06,0.9998778104782104,-7.450580596923828e-06,0.9991471767425537,4.4286251068115234e-05,47.13330820454831,-4.359844201532859,58.13849242673709,3.0740675849160652,0.9995346069335938,-0.00019103288650512695,0.9997642636299133,-0.00015628337860107422,0.999580979347229,-0.0001360774040222168,0.9994704723358154,-0.00026684999465942383,62.164342254052016,22.479708506093722,59.82166549143935,11.36121992537145
Arrest,delta_classifier_auc,3,Arrest007_x264,Arrest,3136,630,0.7880198955535889,0.9999284744262695,0.9957724809646606,0.7357915639877319,99.70622886025919,99.15736607142858,0.9165781736373901,0.9999218583106995,0.9993320107460022,0.895774245262146,99.90891701186993,99.6533658140801,0.7480507493019104,-0.03996914625167847,0.9993738532066345,-0.0005546212196350098,0.9929652810096741,-0.0028071999549865723,0.6864800453186035,-0.04931151866912842,99.31098696461825,-0.39524189564093604,97.9613937690422,-1.1959723023863802,0.8978279829025269,-0.01875019073486328,0.99759441614151,-0.002327442169189453,0.9913537502288818,-0.007978260517120361,0.8743159174919128,-0.021458327770233154,93.81205741141895,-6.096859600450983,79.25753246302656,-20.39583335105354
