prompt,Normal#0,Normal#1,Normal#2,Normal#3,Normal#4,Normal#5,Normal#6,Normal#7,Normal#8,Normal#9,Abuse#0,Abuse#1,Abuse#2,Abuse#3,Abuse#4,Abuse#5,Abuse#6,Abuse#7,Abuse#8,Abuse#9,Arrest#0,Arrest#1,Arrest#2,Arrest#3,Arrest#4,Arrest#5,Arrest#6,Arrest#7,Arrest#8,Arrest#9,Arson#0,Arson#1,Arson#2,Arson#3,Arson#4,Arson#5,Arson#6,Arson#7,Arson#8,Arson#9,Assault#0,Assault#1,Assault#2,Assault#3,Assault#4,Assault#5,Assault#6,Assault#7,Assault#8,Assault#9,Burglary#0,Burglary#1,Burglary#2,Burglary#3,Burglary#4,Burglary#5,Burglary#6,Burglary#7,Burglary#8,Burglary#9,Explosion#0,Explosion#1,Explosion#2,Explosion#3,Explosion#4,Explosion#5,Explosion#6,Explosion#7,Explosion#8,Explosion#9,Fighting#0,Fighting#1,Fighting#2,Fighting#3,Fighting#4,Fighting#5,Fighting#6,Fighting#7,Fighting#8,Fighting#9,RoadAccidents#0,RoadAccidents#1,RoadAccidents#2,RoadAccidents#3,RoadAccidents#4,RoadAccidents#5,RoadAccidents#6,RoadAccidents#7,RoadAccidents#8,RoadAccidents#9,Robbery#0,Robbery#1,Robbery#2,Robbery#3,Robbery#4,Robbery#5,Robbery#6,Robbery#7,Robbery#8,Robbery#9,Shooting#0,Shooting#1,Shooting#2,Shooting#3,Shooting#4,Shooting#5,Shooting#6,Shooting#7,Shooting#8,Shooting#9,Shoplifting#0,Shoplifting#1,Shoplifting#2,Shoplifting#3,Shoplifting#4,Shoplifting#5,Shoplifting#6,Shoplifting#7,Shoplifting#8,Shoplifting#9,Stealing#0,Stealing#1,Stealing#2,Stealing#3,Stealing#4,Stealing#5,Stealing#6,Stealing#7,Stealing#8,Stealing#9,Vandalism#0,Vandalism#1,Vandalism#2,Vandalism#3,Vandalism#4,Vandalism#5,Vandalism#6,Vandalism#7,Vandalism#8,Vandalism#9
Normal#0,0.9999996423721313,0.8651701211929321,0.797379732131958,0.7745895981788635,0.7580701112747192,0.9021676778793335,0.8523340821266174,0.8857415318489075,0.8167729377746582,0.7468302249908447,0.40831583738327026,0.3726036846637726,0.4425620138645172,0.4828026592731476,0.4456571936607361,0.47882360219955444,0.43374672532081604,0.4430372714996338,0.4009878635406494,0.3823270797729492,0.5699141621589661,0.6288027763366699,0.6697950959205627,0.4088735580444336,0.6030950546264648,0.6039999723434448,0.4386327266693115,0.5849072933197021,0.5610212087631226,0.5075297951698303,0.5535693168640137,0.39001137018203735,0.6080307960510254,0.47260257601737976,0.7603387832641602,0.4976527690887451,0.47287487983703613,0.47427117824554443,0.6216632723808289,0.6915127635002136,0.43074795603752136,0.3922727108001709,0.39463019371032715,0.47150111198425293,0.40959489345550537,0.4667169451713562,0.44625431299209595,0.39718976616859436,0.386688768863678,0.46600353717803955,0.40860480070114136,0.41180700063705444,0.343703031539917,0.3347617983818054,0.5128675699234009,0.5020312666893005,0.4202810525894165,0.3454831540584564,0.45353639125823975,0.5145552754402161,0.5743426084518433,0.6108088493347168,0.5424296855926514,0.5451593399047852,0.538459300994873,0.5034980177879333,0.5996218323707581,0.5911757946014404,0.5898386240005493,0.593316912651062,0.4505014419555664,0.542267382144928,0.49101242423057556,0.5779486894607544,0.6277164220809937,0.4430389106273651,0.5561537742614746,0.5205504894256592,0.48139357566833496,0.574181854724884,0.4505563974380493,0.6286683082580566,0.4097616970539093,0.6043591499328613,0.5484498739242554,0.5579217076301575,0.49585068225860596,0.5136203765869141,0.46312204003334045,0.5392742156982422,0.3688740134239197,0.5037586092948914,0.48402583599090576,0.4734042286872864,0.5411039590835571,0.45942044258117676,0.4726507365703583,0.4125414192676544,0.5067495107650757,0.4206680655479431,0.5236833095550537,0.4832085967063904,0.37979742884635925,0.4881254732608795,0.5267576575279236,0.4483105540275574,0.4655134677886963,0.5925040245056152,0.4087347984313965,0.572555661201477,0.43197667598724365,0.5008338689804077,0.48656806349754333,0.40885552763938904,0.5078672170639038,0.5364789366722107,0.5627604722976685,0.46300745010375977,0.41975080966949463,0.5217270851135254,0.4761447608470917,0.5599066615104675,0.473303884267807,0.5201607942581177,0.5073238611221313,0.5009432435035706,0.4507730007171631,0.4769958555698395,0.5100407004356384,0.48441267013549805,0.5203805565834045,0.5556315183639526,0.4237426519393921,0.5013965964317322,0.5498313903808594,0.6434298753738403,0.5576447248458862,0.6395297050476074,0.3836877644062042,0.5201798677444458
Normal#1,0.8651701211929321,0.9999997615814209,0.7231774926185608,0.7755614519119263,0.7359218597412109,0.758734941482544,0.8193363547325134,0.8491969704627991,0.8432620763778687,0.7374278903007507,0.4050300419330597,0.3960472345352173,0.46491438150405884,0.48284557461738586,0.45138296484947205,0.4804839491844177,0.4702358543872833,0.4699440598487854,0.41695302724838257,0.38367462158203125,0.5723857879638672,0.5444778800010681,0.6073026657104492,0.4326949119567871,0.55730801820755,0.5671111345291138,0.4349386394023895,0.5395892858505249,0.5449018478393555,0.5231854915618896,0.5519176721572876,0.4316045641899109,0.6606101989746094,0.5211039781570435,0.7450350522994995,0.5243020057678223,0.5205162167549133,0.5024291276931763,0.6701257228851318,0.7380708456039429,0.43593382835388184,0.38868388533592224,0.40315181016921997,0.5059905648231506,0.4337027072906494,0.48472779989242554,0.4459051191806793,0.4087958335876465,0.40018367767333984,0.4715309143066406,0.40802037715911865,0.45405006408691406,0.366508424282074,0.3432081341743469,0.5255540609359741,0.514141857624054,0.45535895228385925,0.37025296688079834,0.4822550415992737,0.4918367266654968,0.6110391616821289,0.6469495892524719,0.563444972038269,0.5657391548156738,0.5715399980545044,0.5214033722877502,0.6269755959510803,0.6040968894958496,0.6224519610404968,0.6446443200111389,0.49239152669906616,0.5926339626312256,0.5173529386520386,0.637421727180481,0.6620970964431763,0.4556700587272644,0.6033399105072021,0.5551504492759705,0.4888453781604767,0.5597366690635681,0.44908565282821655,0.5074255466461182,0.3498399555683136,0.5740933418273926,0.45190951228141785,0.49495184421539307,0.4630783498287201,0.4509342908859253,0.44165194034576416,0.507673978805542,0.4062865376472473,0.5629621744155884,0.4678420424461365,0.5079913139343262,0.5659515261650085,0.467583030462265,0.48927193880081177,0.43832793831825256,0.48403191566467285,0.41964995861053467,0.5084758996963501,0.48692530393600464,0.38700777292251587,0.5003225207328796,0.48744022846221924,0.4601381719112396,0.46541309356689453,0.5861889123916626,0.39987149834632874,0.5433688759803772,0.4436829686164856,0.5252779722213745,0.5326376557350159,0.39791595935821533,0.5538808703422546,0.5759995579719543,0.5654418468475342,0.4917820394039154,0.38686567544937134,0.5479133129119873,0.5134791135787964,0.5670422315597534,0.47277915477752686,0.5833332538604736,0.5009629130363464,0.4959789216518402,0.41894370317459106,0.5037782192230225,0.5433315634727478,0.47210320830345154,0.5334459543228149,0.6245339512825012,0.37501418590545654,0.5716120004653931,0.5128130912780762,0.7088887691497803,0.5341595411300659,0.638799786567688,0.4319087266921997,0.5847136974334717
Normal#2,0.797379732131958,0.7231774926185608,1.000000238418579,0.8694825768470764,0.6806345582008362,0.7449705004692078,0.7219603061676025,0.7425416707992554,0.6851655840873718,0.9173883199691772,0.2836746573448181,0.2537257969379425,0.3076976239681244,0.3470477759838104,0.3094681203365326,0.3085007667541504,0.2875392436981201,0.31736505031585693,0.2872377336025238,0.2888251841068268,0.4798448979854584,0.47571611404418945,0.5461093187332153,0.2964320182800293,0.4799356460571289,0.5108712911605835,0.3155497908592224,0.5057193636894226,0.4305417537689209,0.39156919717788696,0.3990449607372284,0.27907058596611023,0.5105836391448975,0.34686607122421265,0.6736847162246704,0.3951621949672699,0.3627829849720001,0.32614997029304504,0.5361771583557129,0.581712007522583,0.2727867662906647,0.29353195428848267,0.29333335161209106,0.35975873470306396,0.223174586892128,0.33176732063293457,0.32217758893966675,0.3066866099834442,0.2830427289009094,0.3637476861476898,0.2575109004974365,0.2713671326637268,0.20802441239356995,0.1967596858739853,0.3693931996822357,0.3350119888782501,0.24756217002868652,0.18995273113250732,0.3162406086921692,0.3333955705165863,0.49011582136154175,0.5169328451156616,0.43853986263275146,0.4187341034412384,0.4266044497489929,0.3976840376853943,0.48785287141799927,0.4844636917114258,0.48765477538108826,0.5180243253707886,0.3239099383354187,0.44956034421920776,0.38184061646461487,0.4369582533836365,0.5272526741027832,0.3597952127456665,0.4147379398345947,0.3981083035469055,0.38879069685935974,0.4342990219593048,0.3721613585948944,0.4676763415336609,0.2995121479034424,0.523432195186615,0.39119356870651245,0.4684082269668579,0.3718118369579315,0.4132663905620575,0.3781888782978058,0.4551863670349121,0.21085362136363983,0.31399697065353394,0.3431420624256134,0.30752167105674744,0.35707390308380127,0.3066057562828064,0.34251609444618225,0.250426709651947,0.3551013469696045,0.24308767914772034,0.39412999153137207,0.3202875852584839,0.27498659491539,0.35095691680908203,0.37925752997398376,0.31403496861457825,0.34368112683296204,0.4424138069152832,0.29636144638061523,0.4281010627746582,0.2710235118865967,0.3536919057369232,0.32272738218307495,0.24125492572784424,0.3525845408439636,0.3722238540649414,0.4264697730541229,0.3382072448730469,0.241791769862175,0.3858260214328766,0.32133057713508606,0.3862121105194092,0.30265796184539795,0.40890997648239136,0.34469056129455566,0.35466426610946655,0.2609785199165344,0.3271132707595825,0.3679984211921692,0.3218715190887451,0.32041943073272705,0.43634212017059326,0.2578388452529907,0.36772850155830383,0.38636136054992676,0.49445581436157227,0.4191659092903137,0.5004310607910156,0.2538837790489197,0.3583865165710449
Normal#3,0.7745895981788635,0.7755614519119263,0.8694825768470764,1.0000001192092896,0.7448418736457825,0.7002874612808228,0.7064610123634338,0.7289499640464783,0.7385576963424683,0.9052993655204773,0.291731595993042,0.28082171082496643,0.29939475655555725,0.33914637565612793,0.3145417869091034,0.3216957151889801,0.28710007667541504,0.31614184379577637,0.28089967370033264,0.2906147539615631,0.4776308238506317,0.4558880627155304,0.4893542528152466,0.28888246417045593,0.44434940814971924,0.495703786611557,0.3039383590221405,0.46434539556503296,0.41785675287246704,0.37164878845214844,0.39619484543800354,0.2744835615158081,0.5192543268203735,0.3619844317436218,0.6453307867050171,0.4008025527000427,0.3665632903575897,0.33119451999664307,0.5553982853889465,0.5906955003738403,0.2788155972957611,0.2839716970920563,0.30779513716697693,0.35911649465560913,0.2489340901374817,0.33561354875564575,0.32557159662246704,0.30861470103263855,0.27794119715690613,0.38229599595069885,0.2960612177848816,0.30982506275177,0.22861067950725555,0.2855589985847473,0.3836754560470581,0.3637184798717499,0.286843478679657,0.2414361983537674,0.3376922309398651,0.36182552576065063,0.48769474029541016,0.5175859928131104,0.4348028302192688,0.41657763719558716,0.41579940915107727,0.40276387333869934,0.4992859661579132,0.46862247586250305,0.5047429203987122,0.5212662816047668,0.34246277809143066,0.45822590589523315,0.3690469563007355,0.433030903339386,0.527971088886261,0.3487371504306793,0.4380949139595032,0.3910924196243286,0.39875468611717224,0.4025910198688507,0.29012051224708557,0.40022626519203186,0.2421189844608307,0.4325762093067169,0.3276214599609375,0.3903849124908447,0.32612916827201843,0.3124787211418152,0.3319259583950043,0.38754743337631226,0.2406957447528839,0.3615739047527313,0.34956496953964233,0.3470904231071472,0.43902260065078735,0.32057446241378784,0.37506383657455444,0.29406848549842834,0.3850035071372986,0.2668134868144989,0.38773638010025024,0.3350701332092285,0.28709182143211365,0.3559044897556305,0.39433667063713074,0.3259812891483307,0.35429126024246216,0.44620904326438904,0.3169688880443573,0.4250246286392212,0.36991578340530396,0.4562543034553528,0.4348970055580139,0.32182639837265015,0.43195974826812744,0.45878517627716064,0.5027718544006348,0.4279268980026245,0.3147534728050232,0.45015931129455566,0.32705575227737427,0.42058396339416504,0.3253638744354248,0.43484431505203247,0.36123114824295044,0.34978923201560974,0.2956305742263794,0.3548000454902649,0.39816373586654663,0.3329727351665497,0.36853140592575073,0.5072150826454163,0.2568355202674866,0.41952380537986755,0.4229601323604584,0.5181187391281128,0.38165903091430664,0.5204839706420898,0.2860722243785858,0.38916343450546265
Normal#4,0.7580701112747192,0.7359218597412109,0.6806345582008362,0.7448418736457825,1.0000004768371582,0.6906654834747314,0.742195725440979,0.7607163786888123,0.7821423411369324,0.688496470451355,0.41921305656433105,0.4067727327346802,0.4131256937980652,0.5077887177467346,0.41485586762428284,0.4643726050853729,0.41218841075897217,0.4414939284324646,0.3997572064399719,0.3909677267074585,0.5718561410903931,0.5538896322250366,0.58835768699646,0.44314026832580566,0.5831737518310547,0.5933098793029785,0.42282557487487793,0.594836413860321,0.5661911964416504,0.47505003213882446,0.5063086152076721,0.3920510411262512,0.5817215442657471,0.48776355385780334,0.6890875697135925,0.5368921756744385,0.4692540168762207,0.4442392587661743,0.5787129998207092,0.623119592666626,0.41870802640914917,0.4036969542503357,0.4337783455848694,0.4622538983821869,0.39751681685447693,0.4765046238899231,0.4364718198776245,0.3980940878391266,0.3958955407142639,0.47888830304145813,0.42053818702697754,0.4274876117706299,0.3175995349884033,0.4287996292114258,0.49423617124557495,0.5055480599403381,0.4141327142715454,0.3755922317504883,0.4843634366989136,0.4756527245044708,0.5516674518585205,0.5588741302490234,0.5102584362030029,0.5162585377693176,0.49746817350387573,0.48926666378974915,0.5620211958885193,0.5589100122451782,0.55299973487854,0.5896280407905579,0.4363495707511902,0.55466228723526,0.48036885261535645,0.5330609679222107,0.6054668426513672,0.4440877139568329,0.5089765191078186,0.50365149974823,0.4705060124397278,0.5052123069763184,0.37143635749816895,0.5085782408714294,0.34379905462265015,0.5273336172103882,0.4314308166503906,0.4668939709663391,0.432248592376709,0.4572336673736572,0.46968865394592285,0.48531460762023926,0.3648216426372528,0.44668570160865784,0.4673616588115692,0.45457178354263306,0.5732036828994751,0.44749659299850464,0.4696224331855774,0.4220283031463623,0.4984988570213318,0.40143710374832153,0.5107975006103516,0.4686838388442993,0.3891008198261261,0.47496429085731506,0.5355722904205322,0.45134884119033813,0.474618136882782,0.5514143109321594,0.456764817237854,0.5381956696510315,0.5376856327056885,0.6355806589126587,0.594627857208252,0.5163094997406006,0.5301923155784607,0.569190263748169,0.6453367471694946,0.6056821346282959,0.48554641008377075,0.523038387298584,0.4287772476673126,0.4992551803588867,0.4299471378326416,0.5147293210029602,0.5066878795623779,0.47428691387176514,0.4452527165412903,0.4520711302757263,0.4800383746623993,0.45291489362716675,0.4803276062011719,0.6010815501213074,0.3961137533187866,0.539607048034668,0.5514018535614014,0.5687226057052612,0.49648576974868774,0.6047906875610352,0.4418124258518219,0.4688151478767395
Normal#5,0.9021676778793335,0.758734941482544,0.7449705004692078,0.7002874612808228,0.6906654834747314,0.9999998211860657,0.7792023420333862,0.8685646057128906,0.7389500141143799,0.6913679838180542,0.35362666845321655,0.309891015291214,0.37496253848075867,0.407777339220047,0.38695719838142395,0.408321738243103,0.3477964997291565,0.3749692142009735,0.3540502190589905,0.34721001982688904,0.5074992775917053,0.5762119889259338,0.5972461700439453,0.3521432876586914,0.5386971831321716,0.5493189692497253,0.38210299611091614,0.5288029909133911,0.48801571130752563,0.4215470254421234,0.49058154225349426,0.33700037002563477,0.5097947716712952,0.38473862409591675,0.6687560081481934,0.435774564743042,0.38186198472976685,0.3905770182609558,0.5156647562980652,0.5464456081390381,0.3532678782939911,0.35279953479766846,0.34089547395706177,0.4067174196243286,0.34167852997779846,0.40737253427505493,0.39664971828460693,0.3558875024318695,0.3468090295791626,0.4239828288555145,0.34008753299713135,0.32204532623291016,0.2628384232521057,0.252588152885437,0.441592276096344,0.40315744280815125,0.31872591376304626,0.21344134211540222,0.3883027136325836,0.41766127943992615,0.4692274034023285,0.4790600836277008,0.46744683384895325,0.41784727573394775,0.42836979031562805,0.41799992322921753,0.4983274042606354,0.4815627336502075,0.48520663380622864,0.46708419919013977,0.39030224084854126,0.46257323026657104,0.4386821389198303,0.4683247208595276,0.544960081577301,0.40766921639442444,0.5151911973953247,0.46101462841033936,0.4363671541213989,0.48866167664527893,0.36228442192077637,0.6191102266311646,0.39434078335762024,0.5540805459022522,0.5483250617980957,0.5169570446014404,0.45255327224731445,0.481920063495636,0.40228408575057983,0.4894345998764038,0.2503710985183716,0.4040941596031189,0.4371151626110077,0.3569188117980957,0.42293307185173035,0.3711168169975281,0.4093843698501587,0.34224504232406616,0.42343756556510925,0.3384378254413605,0.4585605561733246,0.3999708890914917,0.3336865305900574,0.40178585052490234,0.4995104670524597,0.3883662223815918,0.40431222319602966,0.5169340968132019,0.3788432478904724,0.5152772068977356,0.36085981130599976,0.44022130966186523,0.42246073484420776,0.34989017248153687,0.40233784914016724,0.4798405170440674,0.46552544832229614,0.40467679500579834,0.34599316120147705,0.4179361164569855,0.3938290476799011,0.4570181965827942,0.3817572593688965,0.4211585521697998,0.41082945466041565,0.4336966872215271,0.4460259675979614,0.40914952754974365,0.4148441255092621,0.40931493043899536,0.42363813519477844,0.4639599919319153,0.40384870767593384,0.4257238209247589,0.4622441232204437,0.531526505947113,0.5212767124176025,0.6030938029289246,0.2939659357070923,0.42048174142837524
Normal#6,0.8523340821266174,0.8193363547325134,0.7219603061676025,0.7064610123634338,0.742195725440979,0.7792023420333862,0.9999995827674866,0.8367424011230469,0.864275336265564,0.6642289161682129,0.44849857687950134,0.4085819125175476,0.47782331705093384,0.5256925821304321,0.48560774326324463,0.5045473575592041,0.4617900848388672,0.49374866485595703,0.45150431990623474,0.4321903586387634,0.6345257759094238,0.6497422456741333,0.67135089635849,0.4480307400226593,0.6497195363044739,0.6668609380722046,0.45821547508239746,0.625325620174408,0.6136513352394104,0.5378553867340088,0.6001594066619873,0.41500335931777954,0.586847186088562,0.49692296981811523,0.8030146360397339,0.5376299619674683,0.4826970100402832,0.4989911913871765,0.6669564843177795,0.6789791584014893,0.4659438729286194,0.437141478061676,0.44509389996528625,0.5203133225440979,0.424477219581604,0.47641056776046753,0.4875038266181946,0.4499989449977875,0.430952787399292,0.4954575300216675,0.4814857840538025,0.4662015736103058,0.38389578461647034,0.3626915216445923,0.5757134556770325,0.5902881622314453,0.4728395342826843,0.37981849908828735,0.5325632095336914,0.5945229530334473,0.6167140603065491,0.6502602696418762,0.597984790802002,0.5749363899230957,0.5543076992034912,0.5584036111831665,0.6347078680992126,0.6351131796836853,0.6545717716217041,0.6335455179214478,0.497308611869812,0.5782335996627808,0.5543544888496399,0.6211689710617065,0.61890709400177,0.505161702632904,0.5884028673171997,0.5793635249137878,0.5339846611022949,0.576885998249054,0.4491271376609802,0.582797110080719,0.34898534417152405,0.6147474646568298,0.49265867471694946,0.4637138545513153,0.49888813495635986,0.49170708656311035,0.43873631954193115,0.4711433947086334,0.36198532581329346,0.49891600012779236,0.5416007041931152,0.4340227246284485,0.46864810585975647,0.48384690284729004,0.4955778121948242,0.45669448375701904,0.4977978467941284,0.43952739238739014,0.5480629205703735,0.4920511245727539,0.4269566833972931,0.505836546421051,0.5397343039512634,0.4662473201751709,0.4988650381565094,0.614883303642273,0.4470879137516022,0.616741418838501,0.44961997866630554,0.44113343954086304,0.49356845021247864,0.400125116109848,0.47977006435394287,0.47479620575904846,0.5714805722236633,0.48645806312561035,0.40492916107177734,0.531685471534729,0.5133692026138306,0.5498266220092773,0.4963802695274353,0.553191602230072,0.5428335666656494,0.49927783012390137,0.49219805002212524,0.5082460641860962,0.5316880941390991,0.5002782344818115,0.5436563491821289,0.5325963497161865,0.4471234679222107,0.493643581867218,0.5614587664604187,0.6212852597236633,0.5186765193939209,0.6452710032463074,0.4302540421485901,0.5011460781097412
Normal#7,0.8857415318489075,0.8491969704627991,0.7425416707992554,0.7289499640464783,0.7607163786888123,0.8685646057128906,0.8367424011230469,0.9999995827674866,0.8012453317642212,0.7297933101654053,0.37709149718284607,0.32805150747299194,0.39050206542015076,0.44340771436691284,0.4088669419288635,0.3919191062450409,0.3666279911994934,0.40557458996772766,0.37761014699935913,0.37994179129600525,0.5318434834480286,0.5350263118743896,0.6119083166122437,0.3632850646972656,0.5338017344474792,0.5733064413070679,0.3741700053215027,0.5471738576889038,0.5204110145568848,0.43452325463294983,0.5247844457626343,0.33503586053848267,0.5614660978317261,0.4091923236846924,0.7514432072639465,0.47932952642440796,0.4398137927055359,0.41002804040908813,0.5870200395584106,0.614918053150177,0.3801850378513336,0.38598543405532837,0.37628304958343506,0.4397071599960327,0.3362048268318176,0.43582338094711304,0.4188905656337738,0.3947664499282837,0.36274075508117676,0.44822943210601807,0.3533436059951782,0.3313775360584259,0.2793908417224884,0.2570146918296814,0.45096147060394287,0.4095756411552429,0.32926052808761597,0.23306819796562195,0.4119403660297394,0.4068799316883087,0.5278820395469666,0.5456737279891968,0.5141559839248657,0.4801465570926666,0.4779508113861084,0.4558292031288147,0.5514546036720276,0.5449686646461487,0.5531313419342041,0.5295474529266357,0.40302321314811707,0.5198689103126526,0.4785972237586975,0.5128175020217896,0.5878520607948303,0.45268532633781433,0.560577392578125,0.4921688437461853,0.46720561385154724,0.5113785266876221,0.3673853278160095,0.5303521156311035,0.3231373429298401,0.5456596612930298,0.45657795667648315,0.456996351480484,0.43968310952186584,0.4382147789001465,0.402493417263031,0.45299607515335083,0.24584436416625977,0.4135192036628723,0.4478732943534851,0.3841751217842102,0.43397533893585205,0.39081501960754395,0.40820032358169556,0.35517171025276184,0.41149482131004333,0.3385586142539978,0.48141905665397644,0.4110487103462219,0.3463665544986725,0.42268621921539307,0.5072789788246155,0.4166593551635742,0.42741888761520386,0.5430867671966553,0.3786044418811798,0.5352418422698975,0.35949409008026123,0.4313936233520508,0.4249676465988159,0.31922030448913574,0.43746569752693176,0.48746538162231445,0.48900291323661804,0.4282122254371643,0.309329628944397,0.45571595430374146,0.4272115230560303,0.4658242166042328,0.39501065015792847,0.4801669716835022,0.43933993577957153,0.429185152053833,0.4271093010902405,0.4179691672325134,0.46249881386756897,0.41726821660995483,0.41262108087539673,0.5171008110046387,0.36838334798812866,0.44014573097229004,0.4674062132835388,0.6058434247970581,0.4804428219795227,0.621536135673523,0.330643892288208,0.4715067446231842
Normal#8,0.8167729377746582,0.8432620763778687,0.6851655840873718,0.7385576963424683,0.7821423411369324,0.7389500141143799,0.864275336265564,0.8012453317642212,1.0,0.674350380897522,0.40692394971847534,0.38177356123924255,0.4373743534088135,0.4740470051765442,0.4487804174423218,0.4683385491371155,0.4213831424713135,0.47049203515052795,0.4037582278251648,0.401622474193573,0.5924899578094482,0.5862878561019897,0.6212228536605835,0.41787153482437134,0.5638303756713867,0.6051952242851257,0.42852532863616943,0.5761417150497437,0.5562081933021545,0.5031185150146484,0.524125874042511,0.38092494010925293,0.5873339772224426,0.4637872874736786,0.7389715909957886,0.5033868551254272,0.4607168436050415,0.4475623071193695,0.6418720483779907,0.6513828635215759,0.4041748344898224,0.41443461179733276,0.40974175930023193,0.4951796233654022,0.3812694549560547,0.44207054376602173,0.44481155276298523,0.41573408246040344,0.40531712770462036,0.48893800377845764,0.44554656744003296,0.44559186697006226,0.31545373797416687,0.3546812832355499,0.5277562141418457,0.5183876156806946,0.44193968176841736,0.33822906017303467,0.49208468198776245,0.472145140171051,0.578424334526062,0.6039321422576904,0.559662401676178,0.5246090292930603,0.5168406963348389,0.5069152116775513,0.6138654351234436,0.583981990814209,0.6092050075531006,0.6132484674453735,0.49249058961868286,0.5654074549674988,0.5300739407539368,0.5902060270309448,0.6164273619651794,0.4851815104484558,0.5882276296615601,0.5396678447723389,0.5219995975494385,0.5356719493865967,0.38753920793533325,0.49353665113449097,0.2880282700061798,0.5543321371078491,0.42463675141334534,0.4292406141757965,0.4151928424835205,0.41136324405670166,0.36868372559547424,0.4187820553779602,0.3221495747566223,0.4688887596130371,0.47642195224761963,0.4069773256778717,0.49545663595199585,0.4175379276275635,0.4461139440536499,0.3925514817237854,0.46735936403274536,0.3637005090713501,0.5165404677391052,0.4660507142543793,0.3982076942920685,0.4754731059074402,0.5112816691398621,0.4283055067062378,0.4780704975128174,0.5704777240753174,0.4135989546775818,0.5671029090881348,0.4355470538139343,0.47785598039627075,0.5197402238845825,0.37635546922683716,0.4872589111328125,0.5404697060585022,0.6031376123428345,0.493726909160614,0.36431461572647095,0.5247045755386353,0.4563853144645691,0.4978758692741394,0.4254987835884094,0.5339435338973999,0.48576223850250244,0.4557301700115204,0.4081670641899109,0.4600580334663391,0.49285227060317993,0.4184643626213074,0.5182204246520996,0.5915490984916687,0.3908590078353882,0.5154464244842529,0.517488956451416,0.6005626320838928,0.4819867014884949,0.6245741844177246,0.4208334684371948,0.4763871431350708
Normal#9,0.7468302249908447,0.7374278903007507,0.9173883199691772,0.9052993655204773,0.688496470451355,0.6913679838180542,0.6642289161682129,0.7297933101654053,0.674350380897522,1.0000001192092896,0.2559981644153595,0.24195101857185364,0.2815413177013397,0.32937297224998474,0.27285847067832947,0.2941809296607971,0.26609933376312256,0.28755566477775574,0.2542582154273987,0.25863733887672424,0.4478210210800171,0.41096508502960205,0.4972066283226013,0.28101974725723267,0.4292524755001068,0.4694959819316864,0.291063517332077,0.4570157825946808,0.40458646416664124,0.3614013195037842,0.38043951988220215,0.26304203271865845,0.5023949146270752,0.33999162912368774,0.6164549589157104,0.37158477306365967,0.35071226954460144,0.3129475712776184,0.5146059989929199,0.5605673789978027,0.2522928714752197,0.2602202296257019,0.2763610780239105,0.3313126564025879,0.22821742296218872,0.32570943236351013,0.29312387108802795,0.28187668323516846,0.24862511456012726,0.3449079692363739,0.2603245973587036,0.2783661186695099,0.21968881785869598,0.2281179279088974,0.3542574942111969,0.3161609172821045,0.2529413104057312,0.21079258620738983,0.30635350942611694,0.3280533254146576,0.45957255363464355,0.48532748222351074,0.3963124752044678,0.390547513961792,0.39999526739120483,0.36819735169410706,0.4613981544971466,0.45464450120925903,0.4514297544956207,0.5081989169120789,0.31446442008018494,0.43607035279273987,0.34634721279144287,0.42096972465515137,0.5278023481369019,0.3230079114437103,0.406090646982193,0.37300509214401245,0.3505059480667114,0.3947864770889282,0.30438071489334106,0.3880484104156494,0.2652551531791687,0.42830875515937805,0.3290022611618042,0.40714359283447266,0.3265378177165985,0.3251971900463104,0.34664538502693176,0.409945011138916,0.21520712971687317,0.31907469034194946,0.3070134222507477,0.3258013129234314,0.37917548418045044,0.287548303604126,0.3276403248310089,0.24891379475593567,0.34703919291496277,0.24253074824810028,0.36856138706207275,0.31241679191589355,0.25346624851226807,0.3346058130264282,0.36585676670074463,0.30775365233421326,0.32683324813842773,0.4226314127445221,0.2819361090660095,0.40969106554985046,0.28925251960754395,0.3747011721134186,0.349176824092865,0.2450229525566101,0.37297505140304565,0.38429775834083557,0.4357636272907257,0.348197877407074,0.24379952251911163,0.3809559643268585,0.2979271411895752,0.3717395067214966,0.2894798219203949,0.4008738398551941,0.3206103444099426,0.3337748646736145,0.25941428542137146,0.29711559414863586,0.35181671380996704,0.29891401529312134,0.3113649785518646,0.4636872708797455,0.2621539235115051,0.3887324333190918,0.3586043119430542,0.5019298791885376,0.3766639530658722,0.5039731860160828,0.25350314378738403,0.3669632077217102
