class_name,Normal,Abuse,Arrest,Arson,Assault,Burglary,Explosion,Fighting,RoadAccidents,Robbery,Shooting,Shoplifting,Stealing,Vandalism
Normal,1.000000238418579,0.4613839089870453,0.6260219812393188,0.6379303932189941,0.4688016176223755,0.46780917048454285,0.6457909941673279,0.5785535573959351,0.5519413352012634,0.49555087089538574,0.526442289352417,0.547584593296051,0.5347058773040771,0.6182736158370972
Abuse,0.4613839089870453,0.9999996423721313,0.7747735977172852,0.7856125831604004,0.9797899127006531,0.8296953439712524,0.7764127850532532,0.9387977719306946,0.7135337591171265,0.8483152389526367,0.8753092885017395,0.7818115949630737,0.8428393602371216,0.83721923828125
Arrest,0.6260219812393188,0.7747735977172852,0.9999999403953552,0.7600092887878418,0.768847644329071,0.7761253714561462,0.7331075668334961,0.7377593517303467,0.7973867654800415,0.8097901344299316,0.8359403610229492,0.7384881973266602,0.8022850751876831,0.7914491891860962
Arson,0.6379303932189941,0.7856125831604004,0.7600092887878418,1.0,0.7632302641868591,0.8365333676338196,0.9162378311157227,0.7719109058380127,0.7947176694869995,0.8487932682037354,0.8151684999465942,0.8167086839675903,0.870412290096283,0.8859196901321411
Assault,0.4688016176223755,0.9797899127006531,0.768847644329071,0.7632302641868591,1.0000001192092896,0.7931371927261353,0.7730250358581543,0.9453878402709961,0.7006571292877197,0.8313392400741577,0.8984477519989014,0.7498988509178162,0.8095299005508423,0.8218083381652832
Burglary,0.46780917048454285,0.8296953439712524,0.7761253714561462,0.8365333676338196,0.7931371927261353,1.0,0.7831957936286926,0.7308679223060608,0.7721349000930786,0.926494300365448,0.8251049518585205,0.8752297163009644,0.931193470954895,0.8977675437927246
Explosion,0.6457909941673279,0.7764127850532532,0.7331075668334961,0.9162378311157227,0.7730250358581543,0.7831957936286926,0.9999998807907104,0.8036993145942688,0.7464860081672668,0.7875136733055115,0.7845941781997681,0.7589589953422546,0.8024255037307739,0.8285943269729614
Fighting,0.5785535573959351,0.9387977719306946,0.7377593517303467,0.7719109058380127,0.9453878402709961,0.7308679223060608,0.8036993145942688,0.9999997615814209,0.66157066822052,0.7627077698707581,0.8267569541931152,0.7183279991149902,0.7676675319671631,0.8030174970626831
RoadAccidents,0.5519413352012634,0.7135337591171265,0.7973867654800415,0.7947176694869995,0.7006571292877197,0.7721349000930786,0.7464860081672668,0.66157066822052,1.0,0.8119824528694153,0.7671416997909546,0.7700151801109314,0.8232219219207764,0.8314647674560547
Robbery,0.49555087089538574,0.8483152389526367,0.8097901344299316,0.8487932682037354,0.8313392400741577,0.926494300365448,0.7875136733055115,0.7627077698707581,0.8119824528694153,1.0000001192092896,0.8698388338088989,0.8933956623077393,0.9533385634422302,0.9129253029823303
Shooting,0.526442289352417,0.8753092885017395,0.8359403610229492,0.8151684999465942,0.8984477519989014,0.8251049518585205,0.7845941781997681,0.8267569541931152,0.7671416997909546,0.8698388338088989,0.9999998807907104,0.7801555395126343,0.8394191265106201,0.8601607084274292
Shoplifting,0.547584593296051,0.7818115949630737,0.7384881973266602,0.8167086839675903,0.7498988509178162,0.8752297163009644,0.7589589953422546,0.7183279991149902,0.7700151801109314,0.8933956623077393,0.7801555395126343,1.0,0.9076178669929504,0.8762918710708618
Stealing,0.5347058773040771,0.8428393602371216,0.8022850751876831,0.870412290096283,0.8095299005508423,0.931193470954895,0.8024255037307739,0.7676675319671631,0.8232219219207764,0.9533385634422302,0.8394191265106201,0.9076178669929504,1.0000001192092896,0.913124680519104
Vandalism,0.6182736158370972,0.83721923828125,0.7914491891860962,0.8859196901321411,0.8218083381652832,0.8977675437927246,0.8285943269729614,0.8030174970626831,0.8314647674560547,0.9129253029823303,0.8601607084274292,0.8762918710708618,0.913124680519104,1.000000238418579
